step,loss,step_s,forward_s,backward_s,optimizer_s
0,10.600662,0.3144,0.1713,0.0689,0.0740
1,10.413321,0.0853,0.0170,0.0338,0.0340
2,10.376058,0.0830,0.0160,0.0331,0.0336
3,10.576014,0.0823,0.0157,0.0325,0.0337
4,10.438773,0.0809,0.0154,0.0316,0.0337
5,10.509106,0.0812,0.0150,0.0323,0.0336
6,10.477490,0.0806,0.0152,0.0316,0.0336
7,10.600999,0.0801,0.0150,0.0312,0.0336
8,10.540531,0.0809,0.0146,0.0323,0.0336
9,10.407991,0.0810,0.0153,0.0318,0.0336
10,10.455963,0.0806,0.0151,0.0316,0.0336
11,10.530776,0.0813,0.0150,0.0324,0.0336
12,10.555915,0.0808,0.0154,0.0315,0.0336
13,10.522042,0.0825,0.0159,0.0327,0.0336
14,10.437650,0.0808,0.0150,0.0319,0.0336
15,10.590574,0.0821,0.0154,0.0328,0.0336
16,10.565493,0.0815,0.0148,0.0328,0.0336
17,10.569567,0.0821,0.0153,0.0328,0.0336
18,10.481791,0.0817,0.0150,0.0328,0.0336
19,10.495468,0.0818,0.0149,0.0330,0.0336
20,10.373022,0.0823,0.0153,0.0331,0.0336
21,10.551830,0.0817,0.0147,0.0331,0.0337
22,10.497281,0.0825,0.0155,0.0331,0.0336
23,10.448144,0.0819,0.0149,0.0331,0.0336
24,10.637099,0.0821,0.0151,0.0331,0.0336
25,10.713007,0.0821,0.0153,0.0329,0.0336
26,10.484035,0.0818,0.0149,0.0330,0.0336
27,10.302198,0.0812,0.0151,0.0323,0.0335
28,10.353284,0.0805,0.0150,0.0319,0.0334
29,10.575749,0.0814,0.0147,0.0328,0.0337
30,10.564956,0.0810,0.0152,0.0322,0.0334
31,10.415613,0.0842,0.0150,0.0356,0.0334
32,10.390595,0.0804,0.0144,0.0325,0.0333
33,10.323734,0.0809,0.0152,0.0322,0.0334
34,10.519969,0.0805,0.0150,0.0319,0.0334
35,10.604411,0.0807,0.0150,0.0321,0.0334
36,10.430644,0.0810,0.0147,0.0326,0.0334
37,10.491078,0.0841,0.0150,0.0355,0.0334
38,10.510699,0.0856,0.0148,0.0370,0.0335
39,10.542756,0.0801,0.0147,0.0318,0.0334
