step,loss,step_s,forward_s,backward_s,optimizer_s
5,,0.278898,0.087367,0.171849,0.019156
10,,0.278401,0.087812,0.170763,0.019171
15,,0.277830,0.087170,0.170921,0.019232
20,,0.280384,0.088210,0.172417,0.019263
25,,0.280957,0.088398,0.173022,0.019037
30,,0.281212,0.088802,0.172768,0.019108
35,,0.280844,0.088636,0.172432,0.019196
40,,0.280597,0.088350,0.172673,0.019081
45,,0.281985,0.089154,0.172869,0.019322
50,,0.280266,0.087487,0.173135,0.019153
55,,0.279622,0.087335,0.172686,0.019129
60,,0.279099,0.087303,0.172095,0.019152
65,,0.278660,0.087178,0.171979,0.019101
70,,0.280142,0.087324,0.173315,0.019063
75,,0.281340,0.087936,0.173822,0.019134
80,,0.280909,0.087850,0.173468,0.019119
85,,0.281226,0.087913,0.173598,0.019247
90,,0.281058,0.088338,0.173047,0.019236
95,,0.281143,0.088066,0.173604,0.019015
100,,0.281841,0.088561,0.173320,0.019377
105,,0.280333,0.088295,0.172388,0.019193
110,,0.280359,0.088240,0.172717,0.018971
115,,0.280980,0.088790,0.172563,0.019144
120,,0.280108,0.087659,0.172853,0.019155
125,,0.279731,0.087721,0.172377,0.019103
130,,0.281062,0.088125,0.173542,0.018989
135,,0.281164,0.088335,0.173171,0.019198
140,,0.281583,0.088207,0.173579,0.019370
145,,0.281489,0.088626,0.173192,0.019225
150,,0.281122,0.088342,0.173166,0.019174
155,,0.281001,0.088049,0.173425,0.019067
160,,0.281514,0.088271,0.173711,0.019060
165,,0.281425,0.088062,0.173659,0.019173
170,,0.281268,0.088154,0.173535,0.019122
175,,0.282049,0.088050,0.174144,0.019288
180,,0.281142,0.087928,0.173733,0.019036
185,,0.281311,0.088275,0.173201,0.019390
190,,0.280742,0.087929,0.173278,0.019093
195,,0.281660,0.088143,0.173789,0.019219
200,,0.280767,0.087877,0.173222,0.019239
205,,0.280983,0.087891,0.173348,0.019275
210,,0.280780,0.087941,0.173415,0.018957
215,,0.280509,0.088002,0.172970,0.019078
220,,0.281661,0.088521,0.173467,0.019214
225,,0.280680,0.087919,0.173216,0.019102
230,,0.281785,0.087989,0.173785,0.019443
235,,0.280955,0.087949,0.173491,0.019089
240,,0.280799,0.087912,0.173411,0.019056
245,,0.280676,0.087890,0.173371,0.019008
250,,0.280598,0.087848,0.173233,0.019085
255,,0.280956,0.088042,0.173432,0.019037
260,,0.280261,0.087959,0.172716,0.019114
265,,0.280884,0.088133,0.173086,0.019205
270,,0.280787,0.088065,0.173018,0.019208
275,,0.280603,0.088177,0.172725,0.019204
280,,0.280238,0.088040,0.172429,0.019249
285,,0.280516,0.088165,0.172706,0.019094
290,,0.280514,0.088372,0.172433,0.019260
295,,0.279948,0.088009,0.172312,0.019159
300,,0.279933,0.087867,0.172457,0.019080
305,,0.280009,0.087724,0.172467,0.019287
310,,0.279873,0.087840,0.172291,0.019282
315,,0.280028,0.087966,0.172487,0.019076
320,,0.280093,0.088125,0.172285,0.019175
325,,0.280098,0.087805,0.172625,0.019088
330,,0.281821,0.088802,0.173454,0.019080
335,,0.281675,0.088005,0.173847,0.019302
340,,0.282792,0.088596,0.174404,0.019278
345,,0.281422,0.088117,0.173701,0.019089
350,,0.280295,0.088055,0.172582,0.019132
355,,0.280173,0.088071,0.172512,0.019114
360,,0.280670,0.088088,0.172892,0.019213
365,,0.282111,0.088481,0.174001,0.019121
370,,0.280843,0.088246,0.172713,0.019376
375,,0.280235,0.088103,0.172598,0.019056
380,,0.280171,0.087891,0.172694,0.019133
385,,0.279609,0.087714,0.172302,0.019061
390,,0.281663,0.088374,0.173816,0.019017
395,,0.281191,0.088228,0.173356,0.019137
400,,0.280234,0.087945,0.172771,0.019096
405,,0.280115,0.087958,0.172611,0.019085
410,,0.280079,0.088054,0.172354,0.019238
415,,0.280734,0.086810,0.174186,0.019227
420,,0.279843,0.086492,0.173808,0.019085
425,,0.280587,0.086898,0.174251,0.018985
430,,0.280183,0.087446,0.173060,0.019211
435,,0.280399,0.087951,0.172752,0.019249
440,,0.280755,0.088032,0.173229,0.019042
445,,0.279835,0.088042,0.172247,0.019088
450,,0.283206,0.088840,0.174747,0.019136
455,,0.281019,0.088330,0.173252,0.018983
460,,0.280344,0.088275,0.172531,0.019094
465,,0.279858,0.087889,0.172422,0.019080
470,,0.280172,0.088044,0.172598,0.019060
475,,0.280074,0.087962,0.172448,0.019154
480,,0.280028,0.087804,0.172529,0.019215
485,,0.281374,0.088245,0.173368,0.019280
490,,0.281140,0.088070,0.173489,0.019097
495,,0.280108,0.088147,0.172347,0.019142
500,,0.280420,0.088016,0.172734,0.019210
505,,0.282660,0.088352,0.173849,0.019360
510,,0.282456,0.088983,0.173462,0.019408
515,,0.281570,0.088438,0.173608,0.019077
520,,0.281239,0.088289,0.173291,0.019170
525,,0.280312,0.088116,0.172569,0.019146
530,,0.279907,0.087808,0.172374,0.019242
535,,0.281465,0.088186,0.173701,0.019081
540,,0.280464,0.088155,0.172583,0.019229
545,,0.279849,0.087987,0.172321,0.018906
550,,0.280488,0.088598,0.172256,0.019197
555,,0.282572,0.088468,0.174474,0.019113
560,,0.281018,0.088227,0.173256,0.019045
565,,0.280473,0.087994,0.172792,0.019228
570,,0.280132,0.087972,0.172459,0.019173
575,,0.280317,0.088032,0.172744,0.019045
580,,0.280158,0.088108,0.172458,0.019073
585,,0.280166,0.088233,0.172327,0.019090
590,,0.280012,0.088131,0.172319,0.019098
595,,0.280125,0.088058,0.172507,0.019046
600,,0.280913,0.086764,0.174580,0.019055
605,,0.280522,0.086785,0.174144,0.019073
610,,0.280770,0.087177,0.173917,0.019228
615,,0.280235,0.087680,0.173007,0.019059
620,,0.280288,0.087927,0.172755,0.019116
625,,0.281373,0.088269,0.173269,0.019356
630,,0.279972,0.088089,0.172231,0.019202
635,,0.283255,0.088673,0.174836,0.019260
640,,0.281279,0.088204,0.173481,0.019103
645,,0.280373,0.088074,0.172766,0.018892
650,,0.280267,0.087998,0.172681,0.019146
655,,0.280444,0.088095,0.172617,0.019286
660,,0.282145,0.088378,0.174149,0.019119
665,,0.280449,0.088172,0.172817,0.018987
670,,0.280193,0.087863,0.172607,0.019234
675,,0.280019,0.088073,0.172447,0.019053
680,,0.282644,0.088503,0.174543,0.019125
685,,0.280908,0.088338,0.172978,0.019130
690,,0.282816,0.088868,0.174453,0.019050
695,,0.280900,0.088292,0.172953,0.019145
700,,0.281108,0.088639,0.172844,0.019141
705,,0.280358,0.087921,0.172751,0.019213
710,,0.281808,0.088336,0.173832,0.019155
715,,0.281369,0.088336,0.173446,0.019101
720,,0.280684,0.088108,0.172971,0.019115
725,,0.281555,0.088366,0.173560,0.019165
730,,0.281537,0.088162,0.173681,0.019219
735,,0.280863,0.088189,0.173067,0.019131
740,,0.280571,0.086477,0.174344,0.019242
745,,0.280013,0.088080,0.172330,0.018952
750,,0.279606,0.087615,0.172492,0.019034
755,,0.279723,0.087793,0.172374,0.019059
760,,0.280525,0.086815,0.174058,0.019165
765,,0.280877,0.087174,0.173974,0.019268
770,,0.280509,0.087905,0.172957,0.019167
775,,0.281537,0.088424,0.173412,0.019188
780,,0.281209,0.088284,0.173180,0.019233
785,,0.280416,0.087835,0.172870,0.019203
790,,0.280396,0.087975,0.172654,0.019258
795,,0.279551,0.087850,0.172107,0.019124
800,,0.282724,0.088450,0.174712,0.019065
805,,0.281197,0.088323,0.173359,0.019041
810,,0.281018,0.088070,0.173239,0.019210
815,,0.280627,0.088232,0.172754,0.019176
820,,0.280246,0.088128,0.172433,0.019230
825,,0.280227,0.087874,0.172670,0.019192
830,,0.281786,0.088855,0.173345,0.019142
835,,0.281061,0.088212,0.173102,0.019260
840,,0.280691,0.088115,0.172901,0.019225
845,,0.280492,0.087940,0.172855,0.019252
850,,0.281238,0.088547,0.172837,0.019246
855,,0.280360,0.087904,0.172965,0.019016
860,,0.279843,0.087917,0.172397,0.019037
865,,0.279453,0.087843,0.172047,0.018936
