step,loss,step_s,forward_s,backward_s,optimizer_s
1,,0.283577,0.143766,0.099241,0.040365
2,,0.146756,0.041880,0.085205,0.019268
3,,0.147440,0.042467,0.085617,0.019021
4,,0.147586,0.042556,0.085530,0.019156
5,,0.146937,0.042150,0.085246,0.019216
6,,0.148392,0.043033,0.085457,0.019533
7,,0.149277,0.042675,0.086942,0.019299
8,,0.146992,0.042228,0.085379,0.019048
9,,0.148164,0.043579,0.085093,0.019139
10,,0.147405,0.042367,0.085558,0.019114
11,,0.147906,0.042529,0.085486,0.019524
12,,0.146964,0.042201,0.085151,0.019279
13,,0.147125,0.042387,0.085162,0.019225
14,,0.149156,0.042716,0.086998,0.019096
15,,0.147447,0.042347,0.085548,0.019183
16,,0.147123,0.042084,0.085290,0.019384
17,,0.148191,0.042499,0.086024,0.019293
18,,0.148240,0.042517,0.086126,0.019251
19,,0.146765,0.042124,0.085091,0.019173
20,,0.146839,0.042277,0.085152,0.019078
21,,0.149224,0.042723,0.086780,0.019316
22,,0.147560,0.042340,0.085775,0.019111
23,,0.146973,0.042195,0.085169,0.019231
24,,0.148898,0.042622,0.086629,0.019302
25,,0.148198,0.042514,0.086226,0.019122
26,,0.147656,0.042424,0.085733,0.019122
27,,0.147044,0.042222,0.085238,0.019257
28,,0.148967,0.042591,0.086808,0.019246
29,,0.148643,0.042770,0.086505,0.019049
30,,0.147404,0.042216,0.085837,0.019013
31,,0.147120,0.042199,0.085513,0.019093
32,,0.149777,0.042732,0.087392,0.019316
33,,0.147700,0.042391,0.085839,0.019142
34,,0.147274,0.042130,0.085556,0.019251
35,,0.147852,0.042372,0.086119,0.019041
36,,0.148419,0.042488,0.086540,0.019050
37,,0.147361,0.042150,0.085832,0.019056
38,,0.147235,0.042339,0.085322,0.019238
39,,0.149240,0.042536,0.087044,0.019332
40,,0.148252,0.042300,0.086584,0.019037
41,,0.147654,0.042139,0.085391,0.019640
42,,0.147622,0.042359,0.085505,0.019344
43,,0.149371,0.042631,0.087123,0.019286
44,,0.147657,0.042313,0.085815,0.019157
45,,0.147997,0.042636,0.085921,0.019094
46,,0.147300,0.042354,0.085577,0.019041
47,,0.149075,0.042585,0.086928,0.019226
48,,0.149399,0.043653,0.085981,0.019394
49,,0.147152,0.042113,0.085594,0.019112
50,,0.148368,0.042414,0.086305,0.019319
51,,0.148522,0.042484,0.086466,0.019233
52,,0.144505,0.042361,0.082682,0.019129
53,,0.148916,0.043132,0.086246,0.019221
54,,0.150305,0.043288,0.087393,0.019275
55,,0.147904,0.042355,0.085888,0.019309
56,,0.147467,0.042364,0.085646,0.019117
57,,0.148585,0.043335,0.085599,0.019324
58,,0.149503,0.042620,0.087325,0.019225
59,,0.147515,0.042328,0.085841,0.019016
60,,0.147888,0.042400,0.085894,0.019242
61,,0.147900,0.042404,0.086029,0.019131
62,,0.149922,0.042849,0.087410,0.019302
63,,0.148057,0.042493,0.086041,0.019186
64,,0.143336,0.042151,0.081708,0.019140
65,,0.150153,0.042657,0.087794,0.019242
66,,0.148181,0.042582,0.085945,0.019328
67,,0.147330,0.042138,0.085606,0.019257
68,,0.147634,0.042316,0.085829,0.019158
69,,0.150091,0.043027,0.087506,0.019199
70,,0.148026,0.042563,0.085901,0.019207
71,,0.144528,0.042274,0.082787,0.019125
72,,0.149017,0.042852,0.086786,0.019041
73,,0.148497,0.042555,0.086389,0.019232
74,,0.148062,0.042640,0.085987,0.019111
75,,0.147754,0.042504,0.085801,0.019128
76,,0.148838,0.042748,0.086814,0.018956
77,,0.149421,0.042566,0.087459,0.018994
78,,0.147619,0.042290,0.085899,0.019106
79,,0.147832,0.042410,0.085936,0.019154
80,,0.149831,0.042853,0.087425,0.019229
81,,0.149204,0.042567,0.087037,0.019268
82,,0.147676,0.042214,0.085952,0.019186
83,,0.147763,0.042421,0.085812,0.019212
84,,0.149631,0.042730,0.087397,0.019177
85,,0.148594,0.042789,0.086189,0.019274
86,,0.149224,0.043990,0.085622,0.019180
87,,0.147635,0.042341,0.085714,0.019234
88,,0.149143,0.043094,0.086573,0.019152
89,,0.149063,0.042780,0.086927,0.019033
90,,0.146123,0.042502,0.084143,0.019099
91,,0.148744,0.043522,0.085746,0.019150
92,,0.149328,0.043236,0.086564,0.019207
93,,0.148933,0.042650,0.086894,0.018980
94,,0.148240,0.042377,0.085989,0.019526
95,,0.149077,0.043817,0.085720,0.019212
96,,0.148632,0.042535,0.086497,0.019250
97,,0.149177,0.042727,0.086876,0.019252
98,,0.147897,0.042364,0.086012,0.019194
99,,0.147278,0.042225,0.085686,0.019035
100,,0.149541,0.042683,0.087260,0.019271
101,,0.149287,0.042744,0.086990,0.019235
102,,0.147657,0.042362,0.085955,0.019001
103,,0.147752,0.042290,0.085809,0.019312
104,,0.150032,0.043168,0.087580,0.018958
105,,0.150166,0.042958,0.087677,0.019199
106,,0.148040,0.042601,0.085890,0.019220
107,,0.147607,0.042279,0.085817,0.019187
108,,0.148316,0.042485,0.086405,0.019104
109,,0.149833,0.042938,0.087502,0.018896
110,,0.147941,0.042533,0.085977,0.019108
111,,0.147791,0.042299,0.085936,0.019191
112,,0.148658,0.042599,0.086623,0.019109
113,,0.150309,0.042924,0.087857,0.019205
114,,0.148012,0.042615,0.085880,0.019193
115,,0.147935,0.042348,0.086066,0.019202
116,,0.148340,0.042486,0.086397,0.019128
117,,0.150114,0.042934,0.087624,0.019231
118,,0.148260,0.042660,0.085994,0.019274
119,,0.147772,0.042346,0.086007,0.019067
120,,0.148302,0.042553,0.086076,0.019335
121,,0.150092,0.042767,0.087788,0.019211
122,,0.148729,0.042680,0.086526,0.019198
123,,0.147906,0.042368,0.086069,0.019144
124,,0.147781,0.042551,0.085862,0.019040
125,,0.149716,0.042742,0.087648,0.018998
126,,0.148592,0.042720,0.086479,0.019068
127,,0.147892,0.042313,0.086114,0.019125
128,,0.147975,0.042464,0.085942,0.019244
129,,0.149919,0.042803,0.087581,0.019026
