step,loss,step_s,forward_s,backward_s,optimizer_s
3,,0.281906,0.088661,0.173432,0.019342
6,,0.279483,0.087746,0.171961,0.019262
9,,0.280664,0.088105,0.172877,0.019176
12,,0.281400,0.088696,0.172944,0.019201
15,,0.280403,0.088050,0.172752,0.019124
18,,0.280492,0.088164,0.172775,0.019086
21,,0.281727,0.088656,0.173630,0.019017
24,,0.282196,0.088760,0.173936,0.019052
27,,0.282933,0.088981,0.174230,0.019210
30,,0.280903,0.088554,0.172615,0.019183
33,,0.282823,0.088888,0.174066,0.019378
36,,0.280652,0.087991,0.172858,0.019329
39,,0.282788,0.088545,0.174464,0.019250
42,,0.280334,0.088113,0.172571,0.019129
45,,0.281546,0.088261,0.173667,0.019144
48,,0.281380,0.088385,0.173332,0.019165
51,,0.282331,0.088584,0.174087,0.019146
54,,0.281528,0.088138,0.173763,0.019191
57,,0.281454,0.088197,0.173655,0.019137
60,,0.281600,0.088563,0.173406,0.019145
63,,0.281200,0.088170,0.173449,0.019069
66,,0.281292,0.088315,0.173480,0.019039
69,,0.281724,0.088346,0.173759,0.019173
72,,0.281937,0.088504,0.173873,0.019081
75,,0.282743,0.088455,0.174591,0.019237
78,,0.286046,0.088509,0.177864,0.019208
81,,0.284100,0.088689,0.175570,0.019121
84,,0.282037,0.087504,0.175017,0.019046
87,,0.282497,0.088560,0.174174,0.019271
90,,0.282685,0.089039,0.173999,0.019177
93,,0.282772,0.088614,0.174484,0.019168
96,,0.282526,0.088575,0.174243,0.019215
99,,0.283671,0.089180,0.174600,0.019390
102,,0.284314,0.089070,0.175527,0.019242
105,,0.282035,0.088480,0.174092,0.019013
108,,0.282909,0.088997,0.174284,0.019154
111,,0.284130,0.089031,0.175531,0.019102
114,,0.283093,0.088474,0.174299,0.019661
117,,0.282875,0.088755,0.174477,0.019187
120,,0.284877,0.089424,0.175706,0.019280
123,,0.283218,0.088911,0.174514,0.019277
126,,0.282652,0.089040,0.174035,0.019092
129,,0.283365,0.088925,0.174846,0.019142
132,,0.283596,0.089372,0.174758,0.019023
135,,0.284869,0.089437,0.176016,0.018985
138,,0.283205,0.088983,0.174392,0.019341
141,,0.282181,0.088914,0.173823,0.019019
144,,0.284011,0.089514,0.175031,0.019029
147,,0.283139,0.089261,0.174319,0.019094
150,,0.285257,0.089070,0.176634,0.019093
153,,0.283394,0.088800,0.175016,0.019089
156,,0.284093,0.089315,0.174823,0.019299
