timeline_s,gpu_util_pct_mean,gpu_util_pct_std,gpu_mem_mb_mean,gpu_mem_mb_std,cpu_util_pct_mean,cpu_util_pct_std,num_samples
0.0,95.000000,3.559026,9013.250000,0.000000,0.433333,0.047140,3
0.5,98.000000,2.160247,10923.250000,0.000000,0.500000,0.000000,3
1.0,98.333333,2.357023,10923.250000,0.000000,0.533333,0.047140,3
1.5,97.000000,3.000000,10923.250000,0.000000,0.500000,0.000000,2
2.0,100.000000,0.000000,10923.250000,0.000000,0.500000,0.000000,1
2.5,97.666667,2.624669,10923.250000,0.000000,0.533333,0.047140,3
3.0,96.333333,2.624669,10923.250000,0.000000,0.500000,0.000000,3
3.5,95.666667,2.357023,10923.250000,0.000000,0.500000,0.000000,3
4.0,94.000000,0.000000,10923.250000,0.000000,0.500000,0.000000,3
4.5,94.000000,0.000000,10923.250000,0.000000,0.533333,0.047140,3
5.0,94.000000,0.000000,10923.250000,0.000000,0.500000,0.000000,2
5.5,99.000000,0.000000,10923.250000,0.000000,0.500000,0.000000,1
6.0,96.000000,2.828427,10923.250000,0.000000,0.500000,0.000000,3
6.5,96.000000,2.828427,10923.250000,0.000000,0.533333,0.047140,3
7.0,98.333333,2.357023,10923.250000,0.000000,0.500000,0.000000,3
7.5,98.000000,2.160247,10923.250000,0.000000,0.533333,0.047140,3
8.0,98.333333,2.357023,10923.250000,0.000000,0.500000,0.000000,3
8.5,94.000000,0.000000,10923.250000,0.000000,0.500000,0.000000,1
9.0,99.000000,0.000000,10923.250000,0.000000,0.500000,0.000000,2
9.5,98.000000,2.828427,10923.250000,0.000000,0.533333,0.047140,3
10.0,97.666667,2.624669,10923.250000,0.000000,0.533333,0.047140,3
10.5,95.666667,2.357023,10923.250000,0.000000,0.500000,0.000000,3
11.0,95.666667,2.357023,10923.250000,0.000000,0.500000,0.000000,3
11.5,93.666667,0.471405,10923.250000,0.000000,0.500000,0.000000,3
12.0,99.000000,0.000000,10923.250000,0.000000,0.500000,0.000000,1
12.5,94.000000,0.000000,10923.250000,0.000000,0.550000,0.050000,2
13.0,96.000000,2.828427,10923.250000,0.000000,0.533333,0.047140,3
13.5,96.000000,2.828427,10923.250000,0.000000,0.500000,0.000000,3
14.0,96.333333,2.624669,10923.250000,0.000000,0.500000,0.000000,3
14.5,97.666667,3.299832,10923.250000,0.000000,0.533333,0.047140,3
15.0,98.000000,2.160247,10923.250000,0.000000,0.500000,0.000000,3
16.0,97.666667,2.624669,10923.250000,0.000000,0.500000,0.000000,3
16.5,98.000000,2.828427,10923.250000,0.000000,0.500000,0.000000,3
17.0,97.666667,2.624669,10923.250000,0.000000,0.500000,0.000000,3
17.5,96.000000,2.828427,10923.250000,0.000000,0.533333,0.047140,3
18.0,96.000000,2.828427,10923.250000,0.000000,0.500000,0.000000,3
18.5,95.666667,2.357023,10923.250000,0.000000,0.500000,0.000000,3
19.5,94.666667,0.471405,10923.250000,0.000000,0.500000,0.000000,3
20.0,96.000000,2.828427,10923.250000,0.000000,0.500000,0.000000,3
20.5,96.000000,2.828427,10923.250000,0.000000,0.500000,0.000000,3
21.0,96.333333,2.624669,10923.250000,0.000000,0.500000,0.000000,3
21.5,98.000000,2.828427,10923.250000,0.000000,0.533333,0.047140,3
22.0,98.000000,2.828427,10923.250000,0.000000,0.566667,0.047140,3
23.0,97.666667,2.624669,10923.250000,0.000000,0.533333,0.047140,3
23.5,96.333333,2.624669,10923.250000,0.000000,0.500000,0.000000,3
24.0,97.666667,2.624669,10923.250000,0.000000,0.500000,0.000000,3
24.5,96.333333,2.624669,10923.250000,0.000000,0.500000,0.000000,3
25.0,96.000000,2.828427,10923.250000,0.000000,0.533333,0.047140,3
25.5,96.000000,2.828427,10923.250000,0.000000,0.500000,0.000000,3
26.5,96.000000,2.828427,10923.250000,0.000000,0.500000,0.000000,3
27.0,96.000000,2.160247,10923.250000,0.000000,0.500000,0.000000,3
27.5,96.000000,2.160247,10923.250000,0.000000,0.500000,0.000000,3
28.0,96.333333,2.624669,10923.250000,0.000000,0.533333,0.047140,3
28.5,96.666667,2.494438,10923.250000,0.000000,0.500000,0.000000,3
29.0,98.000000,2.828427,10923.250000,0.000000,0.500000,0.000000,3
30.0,98.000000,2.828427,10923.250000,0.000000,0.533333,0.047140,3
30.5,97.666667,2.624669,10923.250000,0.000000,0.533333,0.047140,3
31.0,96.333333,2.624669,10923.250000,0.000000,0.500000,0.000000,3
31.5,96.000000,2.160247,10923.250000,0.000000,0.500000,0.000000,3
32.0,96.000000,2.828427,10923.250000,0.000000,0.533333,0.047140,3
32.5,94.000000,0.000000,10923.250000,0.000000,0.500000,0.000000,2
33.0,100.000000,0.000000,10923.250000,0.000000,0.500000,0.000000,1
33.5,96.000000,2.828427,10923.250000,0.000000,0.500000,0.000000,3
