step,loss,step_s,forward_s,backward_s,optimizer_s,throughput_samp_per_s
0,10.463350,0.3979,0.1669,0.1896,0.0413,40.2103
1,10.439710,0.2836,0.0888,0.1750,0.0192,56.4173
2,10.390306,0.2808,0.0875,0.1737,0.0192,56.9826
3,10.373844,0.2822,0.0881,0.1743,0.0194,56.6896
4,10.377747,0.2820,0.0880,0.1745,0.0192,56.7328
5,10.349294,0.2814,0.0877,0.1741,0.0191,56.8675
6,10.333286,0.2831,0.0881,0.1753,0.0193,56.5247
7,10.278007,0.2822,0.0881,0.1745,0.0192,56.7001
8,10.246616,0.2833,0.0887,0.1750,0.0192,56.4818
9,10.217004,0.2812,0.0879,0.1737,0.0192,56.9060
10,10.164557,0.2815,0.0880,0.1740,0.0191,56.8424
11,10.122324,0.2825,0.0881,0.1746,0.0194,56.6402
12,10.072705,0.2812,0.0876,0.1741,0.0191,56.8918
13,10.054930,0.2813,0.0870,0.1747,0.0192,56.8758
14,10.002599,0.2817,0.0882,0.1739,0.0192,56.8072
15,9.933050,0.2842,0.0887,0.1756,0.0195,56.2929
16,9.890836,0.2817,0.0880,0.1743,0.0191,56.7983
17,9.854989,0.2820,0.0881,0.1744,0.0192,56.7292
18,9.792352,0.2828,0.0883,0.1748,0.0194,56.5790
19,9.761757,0.2826,0.0875,0.1755,0.0192,56.6259
20,9.775239,0.2836,0.0895,0.1745,0.0192,56.4152
21,9.698453,0.2822,0.0881,0.1745,0.0193,56.6888
22,9.665874,0.2841,0.0890,0.1753,0.0194,56.3180
23,9.653967,0.2839,0.0887,0.1758,0.0191,56.3670
24,9.582648,0.2821,0.0883,0.1745,0.0191,56.7115
25,11.064118,0.2820,0.0878,0.1745,0.0193,56.7400
26,9.578559,0.2840,0.0898,0.1747,0.0191,56.3435
27,9.549961,0.2819,0.0882,0.1742,0.0191,56.7571
28,9.522020,0.2836,0.0885,0.1755,0.0192,56.4176
29,9.480963,0.2838,0.0879,0.1764,0.0192,56.3722
30,9.444976,0.2836,0.0889,0.1748,0.0194,56.4223
