timeline_s,gpu_util_pct,gpu_mem_util_pct,gpu_mem_mb,cpu_util_pct,sys_mem_pct,sys_mem_mb,gpu_energy_delta_j,gpu_energy_j,gpu_power_w
0.0000,97,43,9013.25,0.9,4.3,21962.68,0.000000,0.000000,0.000000
0.5953,99,48,10923.25,1.0,4.3,21967.85,131.950000,131.950000,221.657694
1.1366,100,45,10923.25,1.0,4.3,21967.85,113.445000,245.395000,209.554590
1.7206,100,49,10923.25,1.0,4.3,21967.85,130.806000,376.201000,224.017146
2.5373,100,45,10923.25,1.0,4.3,21967.85,181.471000,557.672000,222.193554
3.1180,100,50,10923.25,1.0,4.3,21967.85,132.242000,689.914000,227.726691
3.9357,100,45,10923.25,1.1,4.3,21967.85,181.121000,871.035000,221.502346
4.5195,100,49,10923.25,1.1,4.3,21967.85,131.574000,1002.609000,225.363543
5.3370,100,45,10923.25,1.0,4.3,21967.85,181.762000,1184.371000,222.330680
5.9187,100,49,10923.25,1.1,4.3,21967.85,132.240000,1316.611000,227.337778
6.7370,100,45,10923.25,1.1,4.3,21968.10,181.961000,1498.572000,222.386779
7.3193,100,48,10923.25,1.0,4.3,21968.10,132.122000,1630.694000,226.866949
8.1397,100,45,10923.25,1.1,4.3,21968.10,181.996000,1812.690000,221.855814
8.7229,100,47,10923.25,1.0,4.3,21968.10,131.773000,1944.463000,225.952045
9.5507,100,44,10923.25,1.1,4.3,21968.10,179.467000,2123.930000,216.795298
10.1276,100,46,10923.25,1.1,4.3,21965.64,131.837000,2255.767000,228.508359
10.9527,100,44,10923.25,1.1,4.3,21965.60,178.658000,2434.425000,216.535616
11.5416,100,45,10923.25,1.0,4.3,21965.60,131.065000,2565.490000,222.564786
12.3684,100,44,10923.25,1.1,4.3,21965.60,179.892000,2745.382000,217.565461
12.9477,100,45,10923.25,1.1,4.3,21965.60,133.487000,2878.869000,230.437192
13.7719,100,44,10923.25,1.0,4.3,21965.60,178.711000,3057.580000,216.831036
14.3591,100,44,10923.25,1.0,4.3,21965.60,135.185000,3192.765000,230.210060
15.1862,99,48,10923.25,1.1,4.3,21965.60,178.391000,3371.156000,215.683300
15.7659,100,44,10923.25,1.0,4.3,21965.60,134.109000,3505.265000,231.362085
16.5923,99,50,10923.25,1.1,4.3,21965.60,199.078000,3704.343000,240.892474
17.1800,100,43,10923.25,1.1,4.3,21965.60,113.222000,3817.565000,192.660686
18.0096,99,50,10923.25,1.0,4.3,21965.60,200.579000,4018.144000,241.767297
18.5885,99,46,10923.25,1.1,4.3,21965.60,132.236000,4150.380000,228.426864
19.4101,99,50,10923.25,1.0,4.3,21965.60,182.897000,4333.277000,222.597950
19.9934,100,48,10923.25,1.0,4.3,21965.60,132.260000,4465.537000,226.746814
20.8118,99,51,10923.25,1.0,4.3,21965.60,183.213000,4648.750000,223.888865
21.3930,100,48,10923.25,1.1,4.3,21965.60,132.515000,4781.265000,227.976718
22.2121,99,51,10923.25,1.1,4.3,21965.60,183.294000,4964.559000,223.772546
22.7938,100,48,10923.25,1.1,4.3,21965.60,132.285000,5096.844000,227.415819
23.6133,99,51,10923.25,1.1,4.3,21965.60,183.422000,5280.266000,223.833921
24.1963,100,49,10923.25,1.1,4.3,21965.60,131.603000,5411.869000,225.723491
25.0196,99,50,10923.25,1.0,4.3,21965.60,182.583000,5594.452000,221.770435
25.6017,100,50,10923.25,1.0,4.3,21965.60,131.999000,5726.451000,226.742212
26.4275,99,50,10923.25,1.1,4.3,21965.84,179.231000,5905.682000,217.061454
27.0095,100,51,10923.25,1.1,4.3,21965.84,132.138000,6037.820000,227.022408
27.8308,99,51,10923.25,1.0,4.3,21965.84,182.741000,6220.561000,222.501114
28.4102,100,50,10923.25,1.1,4.3,21965.84,133.063000,6353.624000,229.644494
29.2312,99,51,10923.25,1.0,4.3,21965.84,183.356000,6536.980000,223.354317
29.8111,100,51,10923.25,1.0,4.3,21965.84,133.171000,6670.151000,229.630870
30.6314,99,50,10923.25,1.0,4.3,21965.84,183.342000,6853.493000,223.497292
31.2105,100,50,10923.25,1.0,4.3,21965.84,133.211000,6986.704000,230.061492
32.0325,99,50,10923.25,1.1,4.3,21965.83,183.645000,7170.349000,223.404178
32.6124,100,50,10923.25,1.0,4.3,21965.82,132.610000,7302.959000,228.680086
33.4350,99,50,10923.25,1.1,4.3,21966.70,181.489000,7484.448000,220.613413
34.0135,100,50,10923.25,1.1,4.3,21966.70,132.285000,7616.733000,228.698127
34.8382,99,50,10923.25,1.1,4.3,21966.70,181.944000,7798.677000,220.602381
35.4206,100,50,10923.25,1.1,4.3,21966.70,131.630000,7930.307000,226.026234
36.2465,99,50,10923.25,1.1,4.3,21966.56,179.827000,8110.134000,217.731109
36.8337,100,50,10923.25,1.1,4.3,21966.56,132.132000,8242.266000,225.011610
37.6651,99,50,10923.25,1.1,4.3,21966.56,180.086000,8422.352000,216.613143
38.2535,100,50,10923.25,1.1,4.3,21966.56,135.693000,8558.045000,230.598333
39.0856,99,53,10923.25,1.0,4.3,21966.56,199.867000,8757.912000,240.217149
39.6749,100,50,10923.25,1.0,4.3,21966.56,113.140000,8871.052000,191.973892
40.5058,100,45,10923.25,1.1,4.3,21966.56,201.054000,9072.106000,241.970864
41.0948,100,53,10923.25,1.0,4.3,21966.56,130.567000,9202.673000,221.690598
41.9254,100,44,10923.25,1.0,4.3,21966.56,180.342000,9383.015000,217.125243
42.5137,100,46,10923.25,1.0,4.3,21966.56,132.039000,9515.054000,224.410632
43.3447,100,44,10923.25,1.0,4.3,21966.56,179.557000,9694.611000,216.091441
43.9328,100,45,10923.25,1.0,4.3,21966.56,131.901000,9826.512000,224.285895
44.7625,100,44,10923.25,1.1,4.3,21966.56,179.294000,10005.806000,216.086819
45.3461,100,45,10923.25,1.1,4.3,21966.56,134.944000,10140.750000,231.241723
46.1651,99,45,10923.25,1.0,4.3,21966.56,182.831000,10323.581000,223.221924
46.7432,100,45,10923.25,1.1,4.3,21966.56,135.456000,10459.037000,234.331300
47.5640,99,45,10923.25,1.1,4.3,21966.69,181.397000,10640.434000,220.997391
48.1429,100,45,10923.25,1.1,4.3,21966.69,135.336000,10775.770000,233.771739
48.9631,99,44,10923.25,1.1,4.3,21966.69,181.405000,10957.175000,221.171552
49.5425,100,45,10923.25,1.0,4.3,21966.69,135.291000,11092.466000,233.510098
50.3625,99,44,10923.25,1.1,4.3,21966.69,182.286000,11274.752000,222.303508
50.9421,100,45,10923.25,1.0,4.3,21966.69,135.297000,11410.049000,233.436737
51.7631,99,45,10923.25,1.2,4.3,21966.93,182.026000,11592.075000,221.712857
52.3415,100,45,10923.25,1.1,4.3,21966.93,135.487000,11727.562000,234.237722
53.1621,99,44,10923.25,1.0,4.3,21966.93,182.714000,11910.276000,222.658704
53.7415,100,45,10923.25,1.1,4.3,21966.93,135.376000,12045.652000,233.628918
54.5632,99,45,10923.25,1.0,4.3,21966.93,182.326000,12227.978000,221.906751
55.1419,100,45,10923.25,1.1,4.3,21966.93,135.443000,12363.421000,234.030582
55.9625,99,45,10923.25,1.0,4.3,21966.93,182.923000,12546.344000,222.921942
56.5412,100,45,10923.25,1.1,4.3,21966.93,135.249000,12681.593000,233.685059
57.3621,99,45,10923.25,1.0,4.3,21966.93,182.588000,12864.181000,222.446843
57.9412,100,45,10923.25,1.1,4.3,21966.93,135.425000,12999.606000,233.825019
58.7618,99,45,10923.25,1.0,4.3,21966.93,182.294000,13181.900000,222.149032
59.3400,100,45,10923.25,1.1,4.3,21966.93,134.788000,13316.688000,233.106891
60.1608,99,45,10923.25,1.0,4.3,21966.93,182.763000,13499.451000,222.676567
60.7399,100,45,10923.25,1.1,4.3,21966.93,135.525000,13634.976000,234.019228
61.5629,99,46,10923.25,1.1,4.3,21966.93,181.284000,13816.260000,220.270047
62.1418,100,45,10923.25,1.0,4.3,21966.93,135.521000,13951.781000,234.095064
62.9643,99,46,10923.25,1.1,4.3,21966.75,181.452000,14133.233000,220.629903
63.5437,100,45,10923.25,1.1,4.3,21966.75,135.292000,14268.525000,233.480036
64.3666,99,47,10923.25,1.1,4.3,21966.75,181.222000,14449.747000,220.220196
64.9453,100,44,10923.25,1.1,4.3,21966.75,135.126000,14584.873000,233.521011
65.7679,99,48,10923.25,1.1,4.3,21966.75,180.857000,14765.730000,219.866365
66.3468,100,44,10923.25,1.0,4.3,21966.75,134.827000,14900.557000,232.893535
67.1695,99,48,10923.25,1.1,4.3,21966.75,180.001000,15080.558000,218.783514
67.7498,100,44,10923.25,1.0,4.3,21966.75,133.667000,15214.225000,230.336241
68.5733,99,50,10923.25,1.1,4.3,21966.75,200.143000,15414.368000,243.040174
69.1526,100,45,10923.25,1.1,4.3,21966.75,114.696000,15529.064000,198.001184
69.9753,99,50,10923.25,1.0,4.3,21966.75,200.400000,15729.464000,243.600830
70.5842,100,49,10923.25,1.0,4.3,21966.75,129.432000,15858.896000,212.548177
71.4126,99,50,10923.25,1.1,4.3,21966.75,180.786000,16039.682000,218.240833
