timeline_s,gpu_util_pct_mean,gpu_util_pct_std,gpu_mem_mb_mean,gpu_mem_mb_std,cpu_util_pct_mean,cpu_util_pct_std,gpu_energy_delta_j_mean,gpu_energy_delta_j_std,gpu_power_w_mean,gpu_power_w_std,num_samples
0.0,100.000000,0.000000,16749.250000,0.000000,0.666667,0.235702,0.000000,0.000000,0.000000,0.000000,3
0.5,100.000000,0.000000,18659.250000,0.000000,0.700000,0.216025,130.220000,1.645504,229.152830,3.764719,3
1.0,99.666667,0.471405,18659.250000,0.000000,0.733333,0.262467,118.679333,11.497874,220.684545,21.118126,3
2.0,100.000000,0.000000,18659.250000,0.000000,0.733333,0.262467,244.446333,9.925019,230.251694,9.329200,3
2.5,99.666667,0.471405,18659.250000,0.000000,0.766667,0.235702,133.135000,0.466983,232.881990,0.532180,3
3.5,100.000000,0.000000,18659.250000,0.000000,0.766667,0.235702,111.690333,1.975711,205.147571,4.616870,3
4.0,100.000000,0.000000,18659.250000,0.000000,0.733333,0.262467,125.123000,9.780820,231.727575,18.107416,3
5.0,100.000000,0.000000,18659.250000,0.000000,0.766667,0.169967,236.278333,7.414104,222.708776,4.656832,3
5.5,100.000000,0.000000,18659.250000,0.000000,0.766667,0.235702,134.613333,2.507382,233.835090,3.890160,3
6.0,100.000000,0.000000,18659.250000,0.000000,0.766667,0.235702,120.548333,8.919877,223.737560,16.685824,3
6.5,100.000000,0.000000,18659.250000,0.000000,0.700000,0.216025,127.732667,9.952585,236.741568,18.988228,3
7.5,99.666667,0.471405,18659.250000,0.000000,0.733333,0.188562,243.045667,10.480505,228.054257,9.725002,3
8.0,100.000000,0.000000,18659.250000,0.000000,0.700000,0.216025,119.925667,9.280964,208.014043,16.249585,3
8.5,100.000000,0.000000,18659.250000,0.000000,0.733333,0.262467,126.160000,10.268340,232.829092,17.902612,3
9.0,100.000000,0.000000,18659.250000,0.000000,0.600000,0.000000,132.315000,0.000000,246.808497,0.000000,1
9.5,100.000000,0.000000,18659.250000,0.000000,0.800000,0.200000,114.642000,0.989000,212.232996,2.173168,2
10.5,100.000000,0.000000,18659.250000,0.000000,0.766667,0.235702,243.105667,10.218246,229.073546,8.742357,3
11.0,100.000000,0.000000,18659.250000,0.000000,0.700000,0.216025,133.231667,0.840552,231.507322,2.347815,3
11.5,100.000000,0.000000,18659.250000,0.000000,0.766667,0.235702,114.885667,1.195598,212.458786,1.956191,3
12.0,100.000000,0.000000,18659.250000,0.000000,0.700000,0.216025,120.024667,10.259617,222.559019,19.855360,3
13.0,100.000000,0.000000,18659.250000,0.000000,0.733333,0.188562,242.910667,11.289483,228.262423,9.286860,3
13.5,100.000000,0.000000,18659.250000,0.000000,0.700000,0.216025,133.452333,1.232241,231.154054,4.191566,3
14.0,100.000000,0.000000,18659.250000,0.000000,0.800000,0.216025,112.847667,1.895272,207.796526,4.634697,3
14.5,100.000000,0.000000,18659.250000,0.000000,0.733333,0.262467,134.904333,0.115989,249.718265,0.655252,3
15.5,100.000000,0.000000,18659.250000,0.000000,0.600000,0.000000,232.117000,0.000000,219.820000,0.000000,1
16.0,100.000000,0.000000,18659.250000,0.000000,0.850000,0.250000,248.776500,0.282500,231.279650,3.391125,2
16.5,100.000000,0.000000,18659.250000,0.000000,0.733333,0.262467,123.797333,10.238733,215.350959,17.403324,3
17.0,100.000000,0.000000,18659.250000,0.000000,0.700000,0.216025,135.149333,1.196877,249.818300,1.904339,3
17.5,100.000000,0.000000,18659.250000,0.000000,0.733333,0.262467,115.741333,1.552720,213.284475,3.342035,3
18.5,100.000000,0.000000,18659.250000,0.000000,0.733333,0.188562,249.916667,0.424299,235.344285,1.510552,3
19.0,99.666667,0.471405,18659.250000,0.000000,0.733333,0.262467,118.433333,9.671929,205.207716,15.096080,3
19.5,100.000000,0.000000,18659.250000,0.000000,0.733333,0.188562,129.005667,10.469703,238.512442,19.753255,3
20.0,100.000000,0.000000,18659.250000,0.000000,0.733333,0.188562,114.031333,1.396469,209.557324,2.707245,3
21.0,100.000000,0.000000,18659.250000,0.000000,0.600000,0.000000,252.138000,0.000000,238.158871,0.000000,1
21.5,99.666667,0.471405,18659.250000,0.000000,0.766667,0.235702,212.825000,56.522671,234.759599,3.120591,3
22.0,100.000000,0.000000,18659.250000,0.000000,0.850000,0.250000,131.882500,0.166500,229.110396,2.554627,2
22.5,100.000000,0.000000,18659.250000,0.000000,0.733333,0.262467,113.309000,3.134919,207.872004,7.670990,3
23.0,100.000000,0.000000,18659.250000,0.000000,0.733333,0.262467,118.607000,9.628465,217.602484,15.826467,3
24.0,100.000000,0.000000,18659.250000,0.000000,0.766667,0.235702,251.311000,1.651676,235.595197,2.806406,3
24.5,100.000000,0.000000,18659.250000,0.000000,0.700000,0.216025,126.789667,9.753149,219.916717,18.668083,3
25.0,100.000000,0.000000,18659.250000,0.000000,0.733333,0.188562,120.623000,10.835401,222.407551,19.960650,3
25.5,100.000000,0.000000,18659.250000,0.000000,0.766667,0.235702,127.780667,9.373056,233.545849,17.038008,3
26.5,100.000000,0.000000,18659.250000,0.000000,0.700000,0.216025,244.256333,9.771080,228.107827,8.170928,3
27.0,100.000000,0.000000,18659.250000,0.000000,0.600000,0.000000,138.499000,0.000000,240.129835,0.000000,1
27.5,99.666667,0.471405,18659.250000,0.000000,0.733333,0.262467,126.553333,10.601387,223.593882,22.020618,3
28.0,100.000000,0.000000,18659.250000,0.000000,0.766667,0.235702,122.030333,10.070960,224.689049,18.753848,3
28.5,100.000000,0.000000,18659.250000,0.000000,0.850000,0.250000,125.109500,8.663500,230.334804,15.819769,2
29.5,99.333333,0.471405,18659.250000,0.000000,0.733333,0.188562,248.942000,2.541536,231.296272,3.562978,3
30.0,100.000000,0.000000,18659.250000,0.000000,0.800000,0.282843,118.885667,10.117511,204.583521,18.149267,3
30.5,100.000000,0.000000,18659.250000,0.000000,0.766667,0.235702,128.233333,9.434245,236.232317,17.181412,3
31.0,100.000000,0.000000,18659.250000,0.000000,0.733333,0.188562,120.838000,10.304819,222.658474,18.751522,3
32.0,100.000000,0.000000,18659.250000,0.000000,0.733333,0.188562,244.718333,10.059743,229.166992,10.093380,3
32.5,100.000000,0.000000,18659.250000,0.000000,0.600000,0.000000,133.534000,0.000000,229.054647,0.000000,1
33.0,100.000000,0.000000,18659.250000,0.000000,0.733333,0.262467,129.983333,9.039385,229.354642,10.918049,3
33.5,100.000000,0.000000,18659.250000,0.000000,0.733333,0.262467,127.940000,8.675131,235.200631,16.468176,3
34.0,100.000000,0.000000,18659.250000,0.000000,0.750000,0.250000,125.229500,8.084500,230.713123,14.519982,2
35.0,100.000000,0.000000,18659.250000,0.000000,0.800000,0.244949,237.755000,9.657598,222.581598,8.490823,3
35.5,100.000000,0.000000,18659.250000,0.000000,0.800000,0.244949,128.772333,12.230194,222.443143,19.157232,3
36.0,100.000000,0.000000,18659.250000,0.000000,0.733333,0.262467,133.545000,2.847063,245.920733,5.427876,3
36.5,100.000000,0.000000,18659.250000,0.000000,0.733333,0.262467,113.437333,2.521750,206.330306,7.112720,3
37.5,99.500000,0.500000,18659.250000,0.000000,0.850000,0.250000,251.288500,2.785500,235.503363,1.142881,2
38.0,100.000000,0.000000,18659.250000,0.000000,0.866667,0.188562,163.847333,59.364070,217.085850,18.111300,3
38.5,100.000000,0.000000,18659.250000,0.000000,1.300000,0.700000,134.357000,0.357000,239.008599,9.591514,2
39.0,100.000000,0.000000,18659.250000,0.000000,0.966667,0.262467,113.891333,1.222435,209.617964,2.782087,3
39.5,100.000000,0.000000,18659.250000,0.000000,1.000000,0.000000,136.471500,0.387500,253.183965,2.313116,2
40.0,100.000000,0.000000,18659.250000,0.000000,0.600000,0.000000,253.686000,0.000000,238.660094,0.000000,1
40.5,99.500000,0.500000,18659.250000,0.000000,0.800000,0.100000,241.365000,10.281000,224.400216,8.946510,2
41.0,100.000000,0.000000,18659.250000,0.000000,0.900000,0.216025,126.891333,10.107649,221.009204,17.650420,3
41.5,100.000000,0.000000,18659.250000,0.000000,0.833333,0.205480,121.031000,11.127609,222.514787,19.693797,3
42.0,100.000000,0.000000,18659.250000,0.000000,0.800000,0.216025,128.060333,9.716062,235.146426,18.389221,3
43.0,100.000000,0.000000,18659.250000,0.000000,0.650000,0.050000,240.314000,10.069000,224.838188,8.493723,2
43.5,100.000000,0.000000,18659.250000,0.000000,0.766667,0.235702,167.282333,61.673420,222.005308,16.814294,3
44.0,100.000000,0.000000,18659.250000,0.000000,0.766667,0.235702,126.137667,9.547727,227.842397,15.829722,3
44.5,100.000000,0.000000,18659.250000,0.000000,0.850000,0.250000,123.701500,11.280500,226.994650,21.667372,2
45.0,100.000000,0.000000,18659.250000,0.000000,0.900000,0.200000,126.611500,10.004500,232.083606,17.669546,2
45.5,100.000000,0.000000,18659.250000,0.000000,0.600000,0.000000,229.619000,0.000000,215.960144,0.000000,1
46.0,100.000000,0.000000,18659.250000,0.000000,0.850000,0.150000,254.172000,1.133000,235.777874,1.823742,2
46.5,100.000000,0.000000,18659.250000,0.000000,0.766667,0.235702,127.320667,10.469377,220.607210,17.582695,3
47.0,100.000000,0.000000,18659.250000,0.000000,0.766667,0.235702,128.378667,9.732098,235.743854,17.504118,3
47.5,100.000000,0.000000,18659.250000,0.000000,0.800000,0.216025,122.751000,9.890732,225.527674,18.519801,3
48.5,100.000000,0.000000,18659.250000,0.000000,0.600000,0.000000,241.937500,10.624500,226.175211,10.949704,2
49.0,100.000000,0.000000,18659.250000,0.000000,0.766667,0.235702,174.128667,53.869269,233.547675,4.158426,3
49.5,100.000000,0.000000,18659.250000,0.000000,0.766667,0.235702,126.909000,8.433317,227.855477,11.841343,3
50.0,100.000000,0.000000,18659.250000,0.000000,0.850000,0.250000,112.789500,1.219500,206.845806,1.595691,2
50.5,100.000000,0.000000,18659.250000,0.000000,0.900000,0.200000,126.156500,9.202500,230.350428,15.270933,2
51.0,100.000000,0.000000,18659.250000,0.000000,0.600000,0.000000,252.009000,0.000000,236.331113,0.000000,1
51.5,100.000000,0.000000,18659.250000,0.000000,0.766667,0.235702,210.608000,54.951361,229.903099,2.210301,3
52.0,100.000000,0.000000,18659.250000,0.000000,0.850000,0.250000,133.509500,0.490500,231.884364,2.487438,2
52.5,100.000000,0.000000,18659.250000,0.000000,0.766667,0.235702,115.874000,2.009482,212.326991,3.307012,3
53.0,100.000000,0.000000,18659.250000,0.000000,0.766667,0.235702,127.354667,10.404563,233.450038,19.033249,3
54.0,99.500000,0.500000,18659.250000,0.000000,0.600000,0.000000,250.878000,1.116000,233.715092,2.525146,2
54.5,100.000000,0.000000,18659.250000,0.000000,0.766667,0.235702,160.477667,51.762544,214.954039,18.229220,3
55.0,100.000000,0.000000,18659.250000,0.000000,0.766667,0.235702,129.010000,11.404210,231.570628,17.431012,3
55.5,100.000000,0.000000,18659.250000,0.000000,0.766667,0.235702,128.970667,10.753520,236.468409,19.355946,3
