timeline_s,gpu_util_pct,gpu_mem_util_pct,gpu_mem_mb,cpu_util_pct,sys_mem_pct,sys_mem_mb
0.0000,34,12,5153.25,0.4,3.4,17474.35
0.6248,94,48,6111.25,0.5,3.4,17480.99
1.2457,95,41,6111.25,0.5,3.4,17480.99
1.8688,95,41,6111.25,0.5,3.4,17480.99
2.4847,95,44,6111.25,0.5,3.4,17480.99
3.1045,95,41,6111.25,0.5,3.4,17480.99
3.7221,95,42,6111.25,0.5,3.4,17478.78
4.3420,95,44,6111.25,0.5,3.4,17478.78
4.9633,95,44,6111.25,0.5,3.4,17478.78
5.5837,92,43,6111.25,0.5,3.4,17479.02
6.2063,91,48,6111.25,0.6,3.4,17480.01
6.8285,95,48,6111.25,0.5,3.4,17480.49
7.4525,95,41,6111.25,0.5,3.4,17480.49
8.0731,95,47,6111.25,0.6,3.4,17480.48
8.6985,95,41,6111.25,0.6,3.4,17481.38
9.3214,95,42,6111.25,0.5,3.4,17481.38
9.9426,95,44,6111.25,0.5,3.4,17481.38
10.5638,95,44,6111.25,0.5,3.4,17481.38
11.1861,92,44,6111.25,0.5,3.4,17481.38
11.8071,91,48,6111.25,0.6,3.4,17481.38
12.4261,95,46,6111.25,0.5,3.4,17481.38
13.0481,95,41,6111.25,0.5,3.4,17481.13
13.6720,95,46,6111.25,0.6,3.4,17481.37
14.2953,95,41,6111.25,0.5,3.4,17481.56
14.9173,95,41,6111.25,0.5,3.4,17481.56
15.5430,95,44,6111.25,0.5,3.4,17481.56
16.1627,95,45,6111.25,0.5,3.4,17481.56
16.7850,92,44,6111.25,0.5,3.4,17481.55
17.4092,91,48,6111.25,0.5,3.4,17481.55
18.0292,95,45,6111.25,0.6,3.4,17481.55
18.6541,95,41,6111.25,0.5,3.4,17481.55
19.2768,95,44,6111.25,0.5,3.4,17481.55
19.9024,95,41,6111.25,0.5,3.4,17481.55
20.5249,95,42,6111.25,0.5,3.4,17481.55
21.1490,95,44,6111.25,0.5,3.4,17481.55
21.7732,94,42,6111.25,0.5,3.4,17481.80
22.3959,91,48,6111.25,0.5,3.4,17481.80
23.0193,94,49,6111.25,0.5,3.4,17481.80
23.6435,95,41,6111.25,0.5,3.4,17481.80
24.2684,95,47,6111.25,0.5,3.4,17481.80
24.8908,95,41,6111.25,0.5,3.4,17481.80
25.5157,95,41,6111.25,0.5,3.4,17481.80
26.1368,95,45,6111.25,0.5,3.4,17481.80
26.7607,95,44,6111.25,0.5,3.4,17481.80
27.3859,92,44,6111.25,0.5,3.4,17481.80
28.0111,90,47,6111.25,0.6,3.4,17481.80
28.6345,95,42,6111.25,0.7,3.4,17483.77
29.2581,95,41,6111.25,0.5,3.4,17484.73
29.8822,95,41,6111.25,0.5,3.4,17484.73
30.5076,95,41,6111.25,0.5,3.4,17484.73
31.1315,95,44,6111.25,0.5,3.4,17484.49
31.7563,95,44,6111.25,0.5,3.4,17484.49
32.3821,92,44,6111.25,0.5,3.4,17484.49
33.0074,91,47,6111.25,0.5,3.4,17484.49
33.6337,95,42,6111.25,0.5,3.4,17481.54
34.2587,95,41,6111.25,0.5,3.4,17481.54
34.8843,95,41,6111.25,0.5,3.4,17481.54
35.5094,95,41,6111.25,0.5,3.4,17481.54
36.1340,95,44,6111.25,0.5,3.4,17481.54
36.7603,95,44,6111.25,0.5,3.4,17481.78
37.3862,92,46,6111.25,0.5,3.4,17481.78
38.0111,92,48,6111.25,0.6,3.4,17481.77
38.6366,95,41,6111.25,0.5,3.4,17481.77
39.2636,95,46,6111.25,0.5,3.4,17481.78
39.8880,95,41,6111.25,0.5,3.4,17481.78
40.5174,95,42,6111.25,0.5,3.4,17481.78
41.1418,95,44,6111.25,0.5,3.4,17481.77
41.7700,92,41,6111.25,0.5,3.4,17481.77
42.3968,91,48,6111.25,0.5,3.4,17481.77
43.0253,95,44,6111.25,0.5,3.4,17481.77
43.6511,95,41,6111.25,0.5,3.4,17481.77
44.2811,95,41,6111.25,0.5,3.4,17481.77
44.9069,95,41,6111.25,0.5,3.4,17481.77
45.5342,95,44,6111.25,0.5,3.4,17481.77
