timeline_s,gpu_util_pct_mean,gpu_util_pct_std,gpu_mem_mb_mean,gpu_mem_mb_std,cpu_util_pct_mean,cpu_util_pct_std,gpu_energy_delta_j_mean,gpu_energy_delta_j_std,gpu_power_w_mean,gpu_power_w_std,num_samples
0.0,75.333333,13.474255,9013.250000,0.000000,1.300000,0.000000,0.000000,0.000000,0.000000,0.000000,3
0.5,96.000000,2.160247,10923.250000,0.000000,1.400000,0.081650,125.211667,2.190505,217.381545,4.863994,3
1.0,94.333333,0.471405,10923.250000,0.000000,1.433333,0.047140,124.063000,9.203205,216.193209,15.713248,3
1.5,95.000000,2.160247,10923.250000,0.000000,1.466667,0.047140,124.639667,9.937523,215.552235,17.560086,3
2.5,96.666667,2.357023,10923.250000,0.000000,1.366667,0.047140,124.183000,10.796534,216.049461,17.710964,3
3.0,98.333333,2.357023,10923.250000,0.000000,1.400000,0.000000,131.011667,3.032422,227.860977,5.890968,3
3.5,98.000000,2.160247,10923.250000,0.000000,1.466667,0.047140,123.324333,9.194685,215.273313,16.033595,3
4.0,98.000000,2.160247,10923.250000,0.000000,1.433333,0.047140,124.001333,9.678577,215.976283,16.717253,3
4.5,96.333333,2.624669,10923.250000,0.000000,1.366667,0.047140,124.817333,10.487900,213.912519,16.634187,3
5.0,96.000000,2.828427,10923.250000,0.000000,1.400000,0.000000,131.035667,3.148768,227.144389,5.891086,3
5.5,94.000000,0.000000,10923.250000,0.000000,1.600000,0.000000,130.458000,0.000000,225.344163,0.000000,1
6.0,97.000000,2.000000,10923.250000,0.000000,1.400000,0.000000,128.669000,0.721000,222.622508,0.479034,2
6.5,94.000000,0.000000,10923.250000,0.000000,1.400000,0.000000,122.252667,10.108235,210.781806,16.947454,3
7.0,96.000000,1.414214,10923.250000,0.000000,1.366667,0.047140,126.131333,10.068774,218.337418,17.899739,3
7.5,97.666667,2.624669,10923.250000,0.000000,1.400000,0.000000,124.955000,8.358237,214.933136,13.908302,3
8.0,98.333333,2.357023,10923.250000,0.000000,1.433333,0.094281,131.339000,1.112056,228.003467,1.274629,3
8.5,98.333333,2.357023,10923.250000,0.000000,1.400000,0.000000,127.366333,1.494627,217.150027,6.088240,3
9.0,99.500000,0.500000,10923.250000,0.000000,1.350000,0.050000,122.456500,7.310500,212.886405,12.834099,2
9.5,100.000000,0.000000,10923.250000,0.000000,1.400000,0.000000,130.084000,0.000000,224.923771,0.000000,1
10.0,97.666667,2.624669,10923.250000,0.000000,1.466667,0.047140,123.820000,8.953323,214.894738,15.123898,3
10.5,96.333333,2.624669,10923.250000,0.000000,1.400000,0.141421,125.548000,10.283172,216.912831,18.201227,3
11.0,95.666667,2.357023,10923.250000,0.000000,1.400000,0.000000,131.714000,1.858892,227.954565,2.880059,3
11.5,94.666667,0.471405,10923.250000,0.000000,1.400000,0.000000,124.273667,9.001648,214.769172,15.632400,3
12.0,94.666667,0.471405,10923.250000,0.000000,1.433333,0.047140,131.073000,3.537656,223.939940,10.063685,3
12.5,97.000000,2.000000,10923.250000,0.000000,1.450000,0.150000,122.071500,9.052500,211.735200,15.699004,2
13.0,95.000000,0.000000,10923.250000,0.000000,1.400000,0.000000,129.458000,0.000000,222.645497,0.000000,1
13.5,96.666667,2.357023,10923.250000,0.000000,1.400000,0.081650,128.008000,3.018377,217.824068,9.989892,3
14.0,97.666667,2.054805,10923.250000,0.000000,1.433333,0.047140,124.172667,8.576131,214.587918,15.404430,3
14.5,98.000000,2.160247,10923.250000,0.000000,1.400000,0.081650,131.726000,2.395503,227.784779,3.820602,3
15.0,97.000000,2.449490,10923.250000,0.000000,1.133333,0.309121,118.012667,9.615140,204.362460,17.389871,3
15.5,98.000000,2.828427,10923.250000,0.000000,1.266667,0.124722,130.997667,5.208579,223.121548,14.081229,3
16.0,97.000000,3.000000,10923.250000,0.000000,1.450000,0.150000,131.766500,0.070500,228.279485,0.325270,2
16.5,97.000000,3.000000,10923.250000,0.000000,1.400000,0.100000,130.043000,0.612000,224.187853,0.659213,2
17.0,99.500000,0.500000,10923.250000,0.000000,1.450000,0.050000,127.371000,2.061000,215.765784,8.079486,2
17.5,96.000000,2.828427,10923.250000,0.000000,1.300000,0.081650,124.156333,9.168797,213.913537,15.850872,3
18.0,96.333333,1.885618,10923.250000,0.000000,1.266667,0.188562,131.626667,2.595871,224.595749,7.262907,3
18.5,96.000000,1.414214,10923.250000,0.000000,1.200000,0.216025,118.637000,9.319180,205.501630,16.800319,3
19.0,96.000000,2.828427,10923.250000,0.000000,1.200000,0.355903,131.508333,4.519083,224.127523,11.957393,3
19.5,97.000000,3.000000,10923.250000,0.000000,1.400000,0.000000,131.388000,0.190000,227.459382,0.785427,2
20.0,97.500000,2.500000,10923.250000,0.000000,1.000000,0.300000,130.468000,0.698000,224.869187,1.404830,2
20.5,95.000000,0.000000,10923.250000,0.000000,1.050000,0.350000,128.085500,2.318500,217.109263,8.119461,2
21.0,96.000000,1.414214,10923.250000,0.000000,1.100000,0.282843,124.850333,8.871013,215.520060,15.686544,3
21.5,96.333333,2.624669,10923.250000,0.000000,1.166667,0.339935,127.077000,8.299623,219.022909,13.962848,3
22.0,96.666667,2.494438,10923.250000,0.000000,1.233333,0.309121,125.097000,9.712682,217.080967,17.831130,3
22.5,98.000000,2.828427,10923.250000,0.000000,1.166667,0.188562,130.862333,3.650702,223.626536,10.083345,3
23.0,97.500000,2.500000,10923.250000,0.000000,1.300000,0.000000,132.193000,0.351000,229.639473,0.280928,2
23.5,99.000000,1.000000,10923.250000,0.000000,1.150000,0.150000,122.020000,8.143000,210.526317,13.965903,2
24.0,99.500000,0.500000,10923.250000,0.000000,1.250000,0.250000,128.786500,1.405500,218.576559,5.814681,2
24.5,98.333333,2.357023,10923.250000,0.000000,1.233333,0.169967,125.646667,10.245813,216.171687,17.718311,3
