step,loss,step_s,forward_s,backward_s,optimizer_s,throughput_samp_per_s
1,10.498446,0.4001,0.1719,0.1878,0.0403,39.9862
2,10.422953,0.2741,0.0842,0.1702,0.0193,58.3753
3,10.429165,0.2769,0.0865,0.1708,0.0193,57.7772
4,10.392390,0.2774,0.0876,0.1704,0.0191,57.6721
5,10.327938,0.2760,0.0860,0.1704,0.0192,57.9729
6,10.324276,0.2768,0.0865,0.1707,0.0192,57.7960
7,10.292526,0.2767,0.0862,0.1711,0.0191,57.8165
8,10.262047,0.2751,0.0859,0.1696,0.0192,58.1539
9,10.250300,0.2762,0.0861,0.1704,0.0193,57.9378
10,10.168387,0.2784,0.0867,0.1722,0.0191,57.4777
11,10.181665,0.2754,0.0858,0.1702,0.0191,58.0916
12,10.104778,0.2762,0.0851,0.1713,0.0193,57.9394
13,10.089550,0.2754,0.0856,0.1704,0.0191,58.0909
14,10.044957,0.2766,0.0866,0.1704,0.0192,57.8388
15,9.970388,0.2783,0.0874,0.1705,0.0199,57.4970
16,9.931710,0.2774,0.0861,0.1715,0.0193,57.6812
17,9.891146,0.2761,0.0864,0.1701,0.0193,57.9538
18,9.861798,0.2778,0.0867,0.1715,0.0192,57.5896
19,9.815137,0.2769,0.0862,0.1711,0.0193,57.7752
20,9.801683,0.2780,0.0869,0.1715,0.0192,57.5598
21,9.723544,0.2774,0.0869,0.1710,0.0191,57.6879
22,9.710545,0.2789,0.0875,0.1717,0.0193,57.3689
23,9.661307,0.2766,0.0864,0.1708,0.0191,57.8398
24,9.634981,0.2780,0.0867,0.1718,0.0191,57.5547
25,9.575636,0.2782,0.0871,0.1711,0.0195,57.5172
26,9.558693,0.2783,0.0869,0.1719,0.0191,57.4981
27,9.538651,0.2776,0.0871,0.1710,0.0191,57.6410
28,9.539967,0.2774,0.0856,0.1721,0.0192,57.6881
29,9.455815,0.2773,0.0867,0.1712,0.0190,57.7095
30,9.459351,0.2788,0.0880,0.1711,0.0192,57.3967
31,11.524480,0.2799,0.0875,0.1727,0.0192,57.1728
32,10.849825,0.2772,0.0870,0.1706,0.0192,57.7274
33,9.404466,0.2786,0.0871,0.1720,0.0192,57.4204
34,9.390009,0.2781,0.0866,0.1717,0.0194,57.5351
35,9.349236,0.2770,0.0868,0.1706,0.0191,57.7704
36,9.355527,0.2799,0.0872,0.1731,0.0192,57.1682
37,9.318381,0.2785,0.0872,0.1718,0.0191,57.4439
38,9.297673,0.2793,0.0882,0.1717,0.0191,57.2775
39,9.326650,0.2774,0.0864,0.1713,0.0193,57.6794
40,9.283476,0.2802,0.0873,0.1734,0.0191,57.0922
41,9.265171,0.2775,0.0866,0.1713,0.0192,57.6651
42,9.263785,0.2788,0.0870,0.1722,0.0193,57.3858
43,9.242439,0.2780,0.0866,0.1714,0.0195,57.5539
44,9.214735,0.2766,0.0854,0.1716,0.0192,57.8521
45,9.220615,0.2769,0.0863,0.1712,0.0190,57.7843
46,9.226933,0.2784,0.0876,0.1714,0.0191,57.4708
47,9.203938,0.2795,0.0873,0.1727,0.0191,57.2514
48,9.182445,0.2772,0.0864,0.1715,0.0190,57.7204
49,9.162309,0.2788,0.0870,0.1715,0.0198,57.3824
50,9.144476,0.2783,0.0867,0.1720,0.0191,57.4994
51,9.157489,0.2773,0.0866,0.1711,0.0192,57.7093
52,9.118398,0.2807,0.0877,0.1734,0.0193,57.0011
