timeline_s,gpu_util_pct,gpu_mem_util_pct,gpu_mem_mb,cpu_util_pct,sys_mem_pct,sys_mem_mb,gpu_energy_delta_j,gpu_energy_j,gpu_power_w
0.0000,100,54,16749.25,0.7,4.4,22672.34,0.000000,0.000000,0.000000
0.5566,100,53,18659.25,0.8,4.4,22679.45,110.151000,110.151000,197.893875
1.1126,100,53,18659.25,0.7,4.4,22679.01,134.537000,244.688000,241.964989
1.6691,100,56,18659.25,0.7,4.4,22679.01,111.535000,356.223000,200.439659
2.2275,100,51,18659.25,0.7,4.4,22678.99,138.874000,495.097000,248.689132
2.7862,100,54,18659.25,0.7,4.4,22678.99,134.453000,629.550000,240.658511
3.3482,100,53,18659.25,0.7,4.4,22678.98,112.809000,742.359000,200.733554
3.9071,100,53,18659.25,0.6,4.4,22678.98,133.382000,875.741000,238.651861
4.4680,100,56,18659.25,0.6,4.4,22678.98,111.201000,986.942000,198.247492
5.0263,100,51,18659.25,0.6,4.4,22678.98,138.884000,1125.826000,248.773650
5.5861,100,54,18659.25,0.6,4.4,22678.98,134.694000,1260.520000,240.592639
6.1482,100,52,18659.25,0.6,4.4,22678.98,113.234000,1373.754000,201.459196
6.7092,100,52,18659.25,0.6,4.4,22678.98,133.727000,1507.481000,238.346637
7.2690,100,56,18659.25,0.6,4.4,22678.98,111.884000,1619.365000,199.882256
7.8292,100,51,18659.25,0.7,4.4,22680.46,138.800000,1758.165000,247.788071
8.3899,100,54,18659.25,0.6,4.4,22680.68,133.650000,1891.815000,238.349345
8.9500,100,52,18659.25,0.7,4.4,22680.68,113.353000,2005.168000,202.383979
9.5088,100,52,18659.25,0.7,4.4,22680.66,135.077000,2140.245000,241.729044
10.0678,100,56,18659.25,0.9,4.4,22672.54,111.825000,2252.070000,200.025535
10.6283,100,51,18659.25,0.8,4.4,22678.64,138.653000,2390.723000,247.398550
11.1930,100,54,18659.25,0.7,4.4,22678.89,133.346000,2524.069000,236.112037
11.7542,100,52,18659.25,0.7,4.4,22678.89,111.242000,2635.311000,198.216268
12.3147,100,53,18659.25,0.7,4.4,22661.81,135.403000,2770.714000,241.612711
12.8746,100,55,18659.25,0.7,4.4,22678.54,110.672000,2881.386000,197.640119
13.4345,100,52,18659.25,0.8,4.4,22679.03,137.055000,3018.441000,244.802785
13.9959,100,53,18659.25,0.8,4.3,22374.31,133.930000,3152.371000,238.572649
14.5576,100,53,18659.25,1.0,3.6,18477.43,129.650000,3282.021000,230.783146
15.1572,100,53,18659.25,0.6,3.6,18477.26,110.491000,3392.512000,184.276651
15.7150,100,53,18659.25,0.9,3.6,18486.47,136.024000,3528.536000,243.885043
16.2731,100,55,18659.25,0.7,3.6,18501.93,110.422000,3638.958000,197.827375
16.8318,100,52,18659.25,0.9,3.6,18483.24,136.937000,3775.895000,245.116485
17.3906,100,54,18659.25,1.8,3.6,18511.82,132.974000,3908.869000,237.974294
17.9507,100,52,18659.25,1.2,3.6,18717.80,111.596000,4020.465000,199.233659
18.5113,100,53,18659.25,1.0,3.6,18771.38,135.409000,4155.874000,241.553060
19.0702,100,55,18659.25,1.0,3.7,18829.70,111.407000,4267.281000,199.342886
19.6292,100,51,18659.25,1.0,3.7,18891.64,138.144000,4405.425000,247.113936
20.1880,100,54,18659.25,0.9,3.7,18915.71,134.108000,4539.533000,240.007691
20.7468,100,52,18659.25,1.0,3.7,18918.42,112.962000,4652.495000,202.146401
21.3062,100,52,18659.25,1.1,3.7,18920.39,134.939000,4787.434000,241.184174
21.8679,100,55,18659.25,1.1,3.7,18923.10,111.493000,4898.927000,198.511149
22.4280,100,51,18659.25,1.1,3.7,18925.07,138.468000,5037.395000,247.207415
22.9874,100,54,18659.25,1.1,3.7,18927.28,134.381000,5171.776000,240.213319
