timeline_s,gpu_util_pct_mean,gpu_util_pct_std,gpu_mem_mb_mean,gpu_mem_mb_std,cpu_util_pct_mean,cpu_util_pct_std,gpu_energy_delta_j_mean,gpu_energy_delta_j_std,gpu_power_w_mean,gpu_power_w_std,num_samples
0.0,76.000000,12.832251,9013.250000,0.000000,1.300000,0.000000,0.000000,0.000000,0.000000,0.000000,3
0.5,99.000000,0.000000,10923.250000,0.000000,1.400000,0.000000,127.205333,1.620512,221.066870,1.489990,3
1.5,99.000000,0.000000,10923.250000,0.000000,1.400000,0.000000,184.895000,7.784806,218.107944,7.696472,3
2.5,99.333333,0.471405,10923.250000,0.000000,1.333333,0.047140,191.735333,10.529250,227.103110,12.877471,3
3.0,99.666667,0.471405,10923.250000,0.000000,1.433333,0.047140,186.893000,8.539293,221.777983,9.641226,3
4.0,99.000000,0.000000,10923.250000,0.000000,1.400000,0.000000,178.371667,0.348223,211.706896,1.021595,3
5.0,99.000000,0.000000,10923.250000,0.000000,1.400000,0.000000,200.386333,3.038597,237.132982,4.045655,3
5.5,99.333333,0.471405,10923.250000,0.000000,1.366667,0.047140,178.496667,0.257566,210.343233,1.608559,3
6.5,99.000000,0.000000,10923.250000,0.000000,1.400000,0.000000,198.647667,1.795653,233.955712,3.982592,3
7.5,99.666667,0.471405,10923.250000,0.000000,1.400000,0.000000,177.782333,0.866715,208.394088,2.452104,3
8.0,99.333333,0.471405,10923.250000,0.000000,1.400000,0.000000,199.397333,0.347419,233.912406,1.963705,3
9.0,99.000000,0.000000,10923.250000,0.000000,1.400000,0.000000,184.893000,7.863097,216.460230,7.965033,3
10.0,99.000000,0.000000,10923.250000,0.000000,1.366667,0.047140,192.674667,10.133823,226.152902,13.032951,3
10.5,100.000000,0.000000,10923.250000,0.000000,1.400000,0.000000,179.912000,0.260000,212.010540,0.761489,2
11.0,99.000000,0.000000,10923.250000,0.000000,1.400000,0.000000,199.359000,0.000000,234.118738,0.000000,1
11.5,99.333333,0.471405,10923.250000,0.000000,1.366667,0.047140,192.261667,10.108308,225.895416,11.953733,3
12.5,99.000000,0.000000,10923.250000,0.000000,1.400000,0.000000,185.422667,8.464016,218.362769,8.297969,3
13.5,99.000000,0.000000,10923.250000,0.000000,1.433333,0.047140,192.350000,10.695144,225.468000,13.737987,3
14.0,100.000000,0.000000,10923.250000,0.000000,1.400000,0.000000,187.109000,9.874387,219.963026,9.775127,3
15.0,99.000000,0.000000,10923.250000,0.000000,1.400000,0.000000,190.593000,9.845863,223.350400,10.021805,3
16.0,99.000000,0.000000,10923.250000,0.000000,1.400000,0.000000,186.342000,10.170894,218.233317,13.519205,3
16.5,99.500000,0.500000,10923.250000,0.000000,1.400000,0.000000,189.435000,12.309000,222.997324,15.121577,2
17.0,100.000000,0.000000,10923.250000,0.000000,1.300000,0.000000,197.269000,0.000000,229.672103,0.000000,1
17.5,100.000000,0.000000,10923.250000,0.000000,1.400000,0.000000,186.853000,10.805744,220.123606,13.072410,3
18.5,99.000000,0.000000,10923.250000,0.000000,1.400000,0.081650,198.914000,1.045330,233.241925,2.117905,3
19.0,99.000000,0.000000,10923.250000,0.000000,1.400000,0.000000,182.815000,0.000000,216.249464,0.000000,1
19.5,99.000000,0.000000,10923.250000,0.000000,1.400000,0.000000,185.899500,8.166500,214.118222,6.045735,2
20.0,99.666667,0.471405,10923.250000,0.000000,1.400000,0.000000,193.687333,8.817833,226.373026,10.105788,3
21.0,99.333333,0.471405,10923.250000,0.000000,1.400000,0.000000,192.896333,6.981338,226.367846,7.770193,3
22.0,99.000000,0.000000,10923.250000,0.000000,1.400000,0.000000,186.006333,8.329040,217.584654,9.905043,3
22.5,99.000000,0.000000,10923.250000,0.000000,1.400000,0.000000,190.276000,9.763000,223.718157,13.197918,2
23.0,100.000000,0.000000,10923.250000,0.000000,1.300000,0.000000,197.074000,0.000000,229.175798,0.000000,1
23.5,99.666667,0.471405,10923.250000,0.000000,1.400000,0.000000,185.611000,9.885055,217.301679,13.072716,3
24.5,99.333333,0.471405,10923.250000,0.000000,1.333333,0.047140,193.556000,9.632746,227.685624,12.152118,3
25.0,99.000000,0.000000,10923.250000,0.000000,1.400000,0.000000,191.400500,9.908500,224.920826,11.975390,2
25.5,99.000000,0.000000,10923.250000,0.000000,1.400000,0.000000,176.927000,0.000000,207.899257,0.000000,1
26.0,99.333333,0.471405,10923.250000,0.000000,1.366667,0.047140,194.149667,9.525776,228.632869,10.119563,3
27.0,99.333333,0.471405,10923.250000,0.000000,1.400000,0.000000,192.850667,7.751933,226.729865,9.113025,3
27.5,99.500000,0.500000,10923.250000,0.000000,1.350000,0.050000,189.880000,10.239000,220.980642,15.339537,2
28.0,99.000000,0.000000,10923.250000,0.000000,1.400000,0.000000,178.849000,0.000000,207.793121,0.000000,1
28.5,99.000000,0.000000,10923.250000,0.000000,1.400000,0.000000,189.659500,10.904500,220.421029,16.290966,2
29.0,100.000000,0.000000,10923.250000,0.000000,1.400000,0.000000,197.729000,0.000000,229.927578,0.000000,1
29.5,99.666667,0.471405,10923.250000,0.000000,1.400000,0.000000,186.532000,11.108912,218.506655,14.371770,3
30.5,99.666667,0.471405,10923.250000,0.000000,1.366667,0.047140,194.078333,10.063072,226.992747,12.256966,3
31.0,99.500000,0.500000,10923.250000,0.000000,1.400000,0.000000,190.339500,11.218500,222.205358,12.239069,2
31.5,99.000000,0.000000,10923.250000,0.000000,1.400000,0.000000,199.249000,0.000000,233.509259,0.000000,1
32.0,99.333333,0.471405,10923.250000,0.000000,1.400000,0.081650,194.269000,9.315991,228.107085,11.346285,3
33.0,99.333333,0.471405,10923.250000,0.000000,1.366667,0.047140,187.371667,8.132923,219.902787,9.372031,3
33.5,99.500000,0.500000,10923.250000,0.000000,1.400000,0.000000,200.769000,1.614000,235.932187,3.403888,2
34.0,99.000000,0.000000,10923.250000,0.000000,1.400000,0.000000,179.189000,0.000000,208.623340,0.000000,1
34.5,99.500000,0.500000,10923.250000,0.000000,1.400000,0.000000,181.251000,1.099000,212.746843,1.629044,2
35.0,100.000000,0.000000,10923.250000,0.000000,1.400000,0.000000,197.737000,0.000000,230.035270,0.000000,1
35.5,99.333333,0.471405,10923.250000,0.000000,1.400000,0.000000,193.091333,11.439928,226.629762,14.882776,3
36.0,99.000000,0.000000,10923.250000,0.000000,1.400000,0.000000,180.285000,0.000000,212.600872,0.000000,1
36.5,99.500000,0.500000,10923.250000,0.000000,1.400000,0.100000,189.605000,11.526000,218.258373,15.505301,2
37.0,99.500000,0.500000,10923.250000,0.000000,1.400000,0.000000,201.959000,1.604000,236.486967,0.508511,2
37.5,99.000000,0.000000,10923.250000,0.000000,1.400000,0.000000,197.790000,0.000000,229.941622,0.000000,1
38.0,99.000000,0.000000,10923.250000,0.000000,1.400000,0.000000,186.225000,12.351000,215.198848,15.950236,2
38.5,100.000000,0.000000,10923.250000,0.000000,1.300000,0.000000,180.805000,0.000000,211.974805,0.000000,1
39.0,99.333333,0.471405,10923.250000,0.000000,1.400000,0.000000,193.737333,9.582211,226.708755,12.579352,3
39.5,99.000000,0.000000,10923.250000,0.000000,1.300000,0.000000,198.587000,0.000000,231.703776,0.000000,1
40.0,99.000000,0.000000,10923.250000,0.000000,1.350000,0.050000,189.903500,10.062500,221.670684,11.087259,2
40.5,99.500000,0.500000,10923.250000,0.000000,1.400000,0.000000,181.182000,0.713000,211.792379,0.080742,2
41.0,100.000000,0.000000,10923.250000,0.000000,1.400000,0.000000,198.708000,0.000000,231.783347,0.000000,1
41.5,99.333333,0.471405,10923.250000,0.000000,1.366667,0.047140,193.207667,10.703139,226.845592,13.723965,3
42.0,99.000000,0.000000,10923.250000,0.000000,1.400000,0.000000,181.330000,0.000000,211.993399,0.000000,1
42.5,99.500000,0.500000,10923.250000,0.000000,1.400000,0.000000,190.028000,10.255000,221.365894,11.507010,2
43.0,99.500000,0.500000,10923.250000,0.000000,1.350000,0.050000,201.671500,2.314500,234.591282,2.713071,2
43.5,99.000000,0.000000,10923.250000,0.000000,1.400000,0.000000,198.044000,0.000000,230.368161,0.000000,1
44.0,99.500000,0.500000,10923.250000,0.000000,1.400000,0.000000,189.728000,9.897000,221.520147,10.632194,2
44.5,100.000000,0.000000,10923.250000,0.000000,1.300000,0.000000,179.803000,0.000000,209.193684,0.000000,1
45.0,99.333333,0.471405,10923.250000,0.000000,1.400000,0.000000,194.147000,8.746695,227.265407,11.106634,3
45.5,99.000000,0.000000,10923.250000,0.000000,1.400000,0.000000,179.675000,0.000000,209.858247,0.000000,1
46.0,99.000000,0.000000,10923.250000,0.000000,1.350000,0.050000,189.301000,10.654000,221.153281,11.829069,2
46.5,99.500000,0.500000,10923.250000,0.000000,1.350000,0.050000,191.431000,11.759000,223.084269,13.427799,2
47.0,100.000000,0.000000,10923.250000,0.000000,1.400000,0.000000,199.201000,0.000000,233.126310,0.000000,1
47.5,99.333333,0.471405,10923.250000,0.000000,1.366667,0.047140,193.420667,11.006407,226.618220,13.909932,3
48.0,99.000000,0.000000,10923.250000,0.000000,1.400000,0.000000,182.208000,0.000000,212.327332,0.000000,1
48.5,99.500000,0.500000,10923.250000,0.000000,1.350000,0.050000,191.979000,9.643000,224.944209,9.445979,2
49.0,99.000000,0.000000,10923.250000,0.000000,1.400000,0.000000,201.003000,0.634000,237.611829,0.837724,2
49.5,99.000000,0.000000,10923.250000,0.000000,1.400000,0.000000,197.120000,0.000000,229.266304,0.000000,1
50.0,99.500000,0.500000,10923.250000,0.000000,1.350000,0.050000,180.386500,0.421500,211.498312,0.601942,2
50.5,100.000000,0.000000,10923.250000,0.000000,1.400000,0.000000,179.647000,0.000000,208.842777,0.000000,1
51.0,99.333333,0.471405,10923.250000,0.000000,1.400000,0.000000,198.759667,0.754726,231.814383,1.016813,3
51.5,99.500000,0.500000,10923.250000,0.000000,1.350000,0.050000,180.045000,0.169000,210.630740,1.023683,2
52.0,99.000000,0.000000,10923.250000,0.000000,1.400000,0.000000,178.837000,0.000000,209.386377,0.000000,1
52.5,99.500000,0.500000,10923.250000,0.000000,1.450000,0.050000,202.653000,1.971000,237.815594,1.461574,2
53.0,100.000000,0.000000,10923.250000,0.000000,1.400000,0.000000,198.994000,0.000000,233.220097,0.000000,1
53.5,99.000000,0.000000,10923.250000,0.000000,1.333333,0.047140,184.507333,8.153722,214.440274,6.928857,3
54.0,99.000000,0.000000,10923.250000,0.000000,1.400000,0.000000,183.975000,0.000000,217.083531,0.000000,1
54.5,99.500000,0.500000,10923.250000,0.000000,1.400000,0.000000,202.014000,0.398000,235.685633,1.083048,2
55.0,99.000000,0.000000,10923.250000,0.000000,1.400000,0.000000,199.340500,0.188500,232.561617,0.073139,2
55.5,99.000000,0.000000,10923.250000,0.000000,1.300000,0.000000,198.880000,0.000000,231.328567,0.000000,1
56.0,99.500000,0.500000,10923.250000,0.000000,1.400000,0.000000,182.736500,1.490500,214.273490,3.334603,2
56.5,100.000000,0.000000,10923.250000,0.000000,1.400000,0.000000,179.598000,0.000000,209.193706,0.000000,1
57.0,99.000000,0.000000,10923.250000,0.000000,1.400000,0.000000,199.203667,0.624183,232.237301,0.934965,3
57.5,99.500000,0.500000,10923.250000,0.000000,1.400000,0.000000,180.664500,1.168500,210.948780,2.276715,2
58.0,99.000000,0.000000,10923.250000,0.000000,1.400000,0.000000,178.393000,0.000000,207.820370,0.000000,1
58.5,99.500000,0.500000,10923.250000,0.000000,1.400000,0.000000,201.744500,1.649500,236.928601,1.658158,2
59.0,100.000000,0.000000,10923.250000,0.000000,1.400000,0.000000,201.583000,0.000000,236.644719,0.000000,1
59.5,99.000000,0.000000,10923.250000,0.000000,1.400000,0.000000,177.716667,0.886350,206.558686,3.902524,3
60.0,99.000000,0.000000,10923.250000,0.000000,1.400000,0.000000,203.742000,0.000000,237.976017,0.000000,1
60.5,99.500000,0.500000,10923.250000,0.000000,1.350000,0.050000,202.406000,0.590000,236.600699,0.903927,2
61.0,99.000000,0.000000,10923.250000,0.000000,1.400000,0.000000,198.683000,0.114000,231.139234,0.124406,2
61.5,99.000000,0.000000,10923.250000,0.000000,1.400000,0.000000,197.158000,0.000000,229.268343,0.000000,1
62.0,99.666667,0.471405,10923.250000,0.000000,1.400000,0.000000,180.623333,0.918160,210.100893,1.035299,3
63.0,99.000000,0.000000,10923.250000,0.000000,1.400000,0.000000,199.181333,0.812648,231.808419,1.001350,3
63.5,99.500000,0.500000,10923.250000,0.000000,1.400000,0.000000,180.090500,0.631500,210.887429,2.461757,2
64.0,99.000000,0.000000,10923.250000,0.000000,1.400000,0.000000,178.033000,0.000000,207.065800,0.000000,1
64.5,99.500000,0.500000,10923.250000,0.000000,1.400000,0.000000,202.923500,0.631500,237.521590,0.584882,2
65.0,100.000000,0.000000,10923.250000,0.000000,1.400000,0.000000,201.333000,0.000000,234.178098,0.000000,1
65.5,99.000000,0.000000,10923.250000,0.000000,1.400000,0.000000,178.934333,1.052779,210.280817,1.452270,3
66.0,99.000000,0.000000,10923.250000,0.000000,1.400000,0.000000,202.004000,0.000000,237.246993,0.000000,1
66.5,99.500000,0.500000,10923.250000,0.000000,1.400000,0.000000,200.914500,0.126500,235.322983,0.831745,2
67.0,100.000000,0.000000,10923.250000,0.000000,1.250000,0.150000,189.045500,8.801500,217.410800,7.592323,2
67.5,99.000000,0.000000,10923.250000,0.000000,1.400000,0.000000,198.428000,0.000000,231.571222,0.000000,1
68.0,99.666667,0.471405,10923.250000,0.000000,1.300000,0.141421,187.458667,11.960805,218.679001,13.434467,3
69.0,99.000000,0.000000,10923.250000,0.000000,1.200000,0.355903,199.501333,1.324858,232.836963,2.461519,3
69.5,99.500000,0.500000,10923.250000,0.000000,0.950000,0.450000,180.222500,0.988500,210.341212,0.248240,2
70.0,99.000000,0.000000,10923.250000,0.000000,1.400000,0.000000,177.516000,0.000000,206.414186,0.000000,1
70.5,99.500000,0.500000,10923.250000,0.000000,0.950000,0.350000,201.846500,1.841500,235.038184,2.215107,2
71.0,100.000000,0.000000,10923.250000,0.000000,1.400000,0.000000,201.949000,0.000000,235.044088,0.000000,1
71.5,99.000000,0.000000,10923.250000,0.000000,1.100000,0.424264,192.290333,8.267520,224.258298,8.590490,3
72.0,99.000000,0.000000,10923.250000,0.000000,0.500000,0.000000,181.997000,0.000000,214.873243,0.000000,1
72.5,99.500000,0.500000,10923.250000,0.000000,1.450000,0.050000,190.943500,9.959500,224.267310,11.806709,2
73.0,99.000000,0.000000,10923.250000,0.000000,0.950000,0.450000,187.418000,8.368000,217.338480,5.134810,2
73.5,99.000000,0.000000,10923.250000,0.000000,1.400000,0.000000,198.239000,0.000000,233.016106,0.000000,1
74.0,99.666667,0.471405,10923.250000,0.000000,1.133333,0.449691,188.231667,10.383392,220.891787,13.691793,3
74.5,99.000000,0.000000,10923.250000,0.000000,0.500000,0.000000,178.465000,0.000000,211.025466,0.000000,1
75.0,99.500000,0.500000,10923.250000,0.000000,1.400000,0.000000,199.261500,1.022500,231.878947,1.289304,2
75.5,99.500000,0.500000,10923.250000,0.000000,0.950000,0.450000,192.209000,12.395000,224.881672,15.884719,2
76.0,99.000000,0.000000,10923.250000,0.000000,1.400000,0.000000,176.908000,0.000000,205.690009,0.000000,1
76.5,99.000000,0.000000,10923.250000,0.000000,0.950000,0.450000,192.171500,11.919500,225.047049,12.383413,2
77.0,100.000000,0.000000,10923.250000,0.000000,1.400000,0.000000,200.733000,0.000000,233.725143,0.000000,1
77.5,99.333333,0.471405,10923.250000,0.000000,1.100000,0.424264,193.747667,10.227130,226.349781,11.430382,3
78.0,99.000000,0.000000,10923.250000,0.000000,0.500000,0.000000,180.260000,0.000000,213.319617,0.000000,1
78.5,99.500000,0.500000,10923.250000,0.000000,1.400000,0.000000,191.310500,11.903500,223.794065,15.057124,2
79.0,99.000000,0.000000,10923.250000,0.000000,0.950000,0.450000,201.658500,1.724500,235.372253,2.342890,2
79.5,99.000000,0.000000,10923.250000,0.000000,1.400000,0.000000,199.393000,0.000000,233.044303,0.000000,1
80.0,99.000000,0.000000,10923.250000,0.000000,0.950000,0.450000,178.981000,2.434000,209.619345,1.536815,2
80.5,100.000000,0.000000,10923.250000,0.000000,0.950000,0.450000,190.012500,11.843500,222.922265,13.935848,2
81.0,99.500000,0.500000,10923.250000,0.000000,1.350000,0.050000,199.984500,0.164500,233.630960,0.625792,2
81.5,99.500000,0.500000,10923.250000,0.000000,0.950000,0.450000,179.393000,0.166000,210.639520,2.145464,2
82.0,99.000000,0.000000,10923.250000,0.000000,1.400000,0.000000,178.341000,0.000000,207.789873,0.000000,1
82.5,99.000000,0.000000,10923.250000,0.000000,0.950000,0.450000,204.188500,0.152500,238.635122,0.938833,2
83.0,99.500000,0.500000,10923.250000,0.000000,0.950000,0.450000,190.906000,10.888000,223.781531,10.951791,2
83.5,99.000000,0.000000,10923.250000,0.000000,1.400000,0.000000,198.623500,1.108500,231.035293,1.142373,2
84.0,100.000000,0.000000,10923.250000,0.000000,0.500000,0.000000,204.543000,0.000000,240.323039,0.000000,1
84.5,99.500000,0.500000,10923.250000,0.000000,1.400000,0.000000,181.082500,1.485500,211.241739,2.508794,2
85.0,99.500000,0.500000,10923.250000,0.000000,0.950000,0.450000,190.246000,10.259000,223.783126,11.701214,2
85.5,100.000000,0.000000,10923.250000,0.000000,1.400000,0.000000,198.525000,0.000000,230.884280,0.000000,1
86.0,99.000000,0.000000,10923.250000,0.000000,0.900000,0.400000,192.632000,10.493000,226.268272,13.367637,2
86.5,99.500000,0.500000,10923.250000,0.000000,0.950000,0.450000,179.183500,0.166500,211.163759,1.135874,2
87.0,99.500000,0.500000,10923.250000,0.000000,1.450000,0.050000,200.056000,1.010000,234.016606,0.354302,2
87.5,100.000000,0.000000,10923.250000,0.000000,0.950000,0.450000,190.397500,10.211500,223.124977,13.678254,2
88.0,99.000000,0.000000,10923.250000,0.000000,1.300000,0.000000,178.692000,0.000000,209.022373,0.000000,1
88.5,99.000000,0.000000,10923.250000,0.000000,0.950000,0.450000,188.970000,14.204000,218.733001,17.736774,2
89.0,99.500000,0.500000,10923.250000,0.000000,0.950000,0.450000,202.472500,0.494500,236.951951,1.982016,2
89.5,99.000000,0.000000,10923.250000,0.000000,1.350000,0.050000,199.343500,0.670500,231.832919,0.734818,2
90.0,99.000000,0.000000,10923.250000,0.000000,0.500000,0.000000,199.231000,0.000000,232.871466,0.000000,1
90.5,99.500000,0.500000,10923.250000,0.000000,1.400000,0.000000,180.826000,0.749000,210.242261,0.868335,2
91.0,99.500000,0.500000,10923.250000,0.000000,1.000000,0.500000,193.167000,9.758000,227.150799,10.974179,2
91.5,99.500000,0.500000,10923.250000,0.000000,0.950000,0.450000,198.297000,0.025000,231.296698,0.765843,2
92.0,99.000000,0.000000,10923.250000,0.000000,1.400000,0.000000,180.596000,0.000000,211.930422,0.000000,1
92.5,99.500000,0.500000,10923.250000,0.000000,0.900000,0.400000,179.738500,1.496500,209.526884,2.123608,2
93.0,99.500000,0.500000,10923.250000,0.000000,1.400000,0.000000,201.651000,0.627000,236.374078,1.202696,2
93.5,99.000000,0.000000,10923.250000,0.000000,0.950000,0.450000,190.144000,10.178000,222.915087,13.756261,2
94.0,99.000000,0.000000,10923.250000,0.000000,1.300000,0.000000,177.457000,0.000000,208.200677,0.000000,1
94.5,99.500000,0.500000,10923.250000,0.000000,0.950000,0.450000,192.670000,11.702000,224.887438,13.277455,2
95.0,99.500000,0.500000,10923.250000,0.000000,0.950000,0.450000,202.070000,0.045000,237.011815,0.955033,2
95.5,99.000000,0.000000,10923.250000,0.000000,1.350000,0.050000,198.777000,0.305000,231.367560,0.273661,2
96.0,99.000000,0.000000,10923.250000,0.000000,0.500000,0.000000,181.436000,0.000000,214.518441,0.000000,1
96.5,99.500000,0.500000,10923.250000,0.000000,1.400000,0.000000,180.519000,0.938000,209.904710,1.140548,2
97.0,99.000000,0.000000,10923.250000,0.000000,1.000000,0.500000,199.934000,0.005000,234.215931,1.663849,2
97.5,100.000000,0.000000,10923.250000,0.000000,0.950000,0.450000,187.837500,10.733500,216.480300,14.521172,2
98.0,99.000000,0.000000,10923.250000,0.000000,1.400000,0.000000,180.586000,0.000000,211.919299,0.000000,1
98.5,99.500000,0.500000,10923.250000,0.000000,1.000000,0.400000,190.751500,12.819500,222.293590,15.276039,2
99.0,99.500000,0.500000,10923.250000,0.000000,1.450000,0.050000,201.378000,0.535000,235.435510,0.570392,2
99.5,99.000000,0.000000,10923.250000,0.000000,0.950000,0.450000,186.942500,10.003500,216.971009,8.750838,2
100.0,99.000000,0.000000,10923.250000,0.000000,1.400000,0.000000,177.553000,0.000000,208.300583,0.000000,1
100.5,99.500000,0.500000,10923.250000,0.000000,0.950000,0.450000,192.796500,8.444500,226.597414,9.223333,2
101.0,99.500000,0.500000,10923.250000,0.000000,0.950000,0.450000,199.938000,0.682000,234.021777,1.215681,2
101.5,99.000000,0.000000,10923.250000,0.000000,1.350000,0.050000,199.649500,0.704500,233.453582,0.801552,2
