step,loss,step_s,forward_s,backward_s,optimizer_s,throughput_samp_per_s
3,10.429165,0.2806,0.0882,0.1728,0.0191,57.0222
6,10.324276,0.2799,0.0882,0.1720,0.0193,57.1639
9,10.250300,0.2784,0.0877,0.1711,0.0191,57.4814
12,10.104778,0.2779,0.0872,0.1709,0.0192,57.5802
15,9.970388,0.2775,0.0873,0.1707,0.0190,57.6497
18,9.861799,0.2782,0.0861,0.1724,0.0192,57.5184
21,9.723544,0.2786,0.0865,0.1726,0.0191,57.4284
24,9.634981,0.2806,0.0877,0.1730,0.0193,57.0191
27,9.538651,0.2800,0.0881,0.1721,0.0192,57.1422
30,9.459351,0.2805,0.0882,0.1726,0.0192,57.0500
33,9.404466,0.2809,0.0889,0.1723,0.0191,56.9550
36,9.355527,0.2807,0.0883,0.1729,0.0191,56.9947
39,9.326650,0.2811,0.0887,0.1728,0.0191,56.9093
42,9.263784,0.2809,0.0879,0.1733,0.0192,56.9625
45,9.220614,0.2813,0.0887,0.1728,0.0193,56.8877
48,9.182445,0.2821,0.0885,0.1739,0.0192,56.7222
51,9.157488,0.2814,0.0888,0.1727,0.0192,56.8612
54,9.114743,0.2824,0.0888,0.1739,0.0192,56.6609
57,9.084055,0.2831,0.0888,0.1745,0.0192,56.5233
60,9.090633,0.2804,0.0883,0.1724,0.0192,57.0687
63,9.074786,0.2806,0.0874,0.1735,0.0192,57.0133
66,9.033973,0.2814,0.0886,0.1731,0.0191,56.8620
69,9.036338,0.2883,0.0889,0.1796,0.0192,55.4935
72,9.007487,0.2818,0.0885,0.1736,0.0192,56.7828
75,9.014586,0.2807,0.0884,0.1727,0.0191,57.0036
78,9.000326,0.2815,0.0880,0.1739,0.0191,56.8358
81,8.982185,0.2804,0.0880,0.1727,0.0192,57.0535
84,9.003423,0.2823,0.0890,0.1736,0.0192,56.6684
87,8.987368,0.2797,0.0879,0.1723,0.0190,57.2013
90,8.933572,0.2816,0.0880,0.1741,0.0190,56.8215
93,8.960029,0.2804,0.0884,0.1723,0.0192,57.0705
96,8.946330,0.2802,0.0870,0.1736,0.0192,57.0925
99,8.914870,0.2808,0.0880,0.1728,0.0194,56.9894
102,8.967038,0.2814,0.0881,0.1735,0.0193,56.8645
105,8.947202,0.2809,0.0885,0.1728,0.0192,56.9597
108,8.936422,0.2840,0.0889,0.1746,0.0198,56.3396
111,8.922265,0.2827,0.0891,0.1740,0.0191,56.5988
114,8.923384,0.2824,0.0884,0.1744,0.0191,56.6570
117,8.931550,0.2804,0.0885,0.1723,0.0192,57.0646
120,8.934231,0.2829,0.0893,0.1741,0.0191,56.5528
123,8.919184,0.2812,0.0873,0.1742,0.0192,56.8955
126,8.924499,0.2816,0.0890,0.1730,0.0192,56.8083
129,8.915533,0.2827,0.0895,0.1734,0.0191,56.6070
132,8.915428,0.2823,0.0895,0.1732,0.0192,56.6691
135,8.908346,0.2834,0.0894,0.1745,0.0190,56.4631
138,8.923104,0.2833,0.0890,0.1744,0.0193,56.4684
141,8.928379,0.2824,0.0893,0.1735,0.0191,56.6534
144,8.917994,0.2816,0.0877,0.1743,0.0191,56.8118
147,8.917233,0.2814,0.0891,0.1727,0.0192,56.8528
150,8.909878,0.2826,0.0895,0.1735,0.0191,56.6093
153,8.926558,0.2832,0.0898,0.1738,0.0191,56.4900
156,8.882260,0.2834,0.0898,0.1740,0.0192,56.4563
159,8.911912,0.2827,0.0893,0.1738,0.0192,56.5942
162,8.924577,0.2820,0.0888,0.1736,0.0192,56.7330
165,8.882327,0.2828,0.0882,0.1747,0.0193,56.5778
168,8.917074,0.2797,0.0879,0.1722,0.0191,57.2140
171,8.895161,0.2798,0.0878,0.1723,0.0192,57.1936
174,8.882463,0.2799,0.0874,0.1729,0.0191,57.1702
177,8.882971,0.2815,0.0887,0.1730,0.0192,56.8328
180,8.892087,0.2827,0.0886,0.1745,0.0193,56.5872
183,8.897943,0.2828,0.0888,0.1745,0.0191,56.5694
186,8.884045,0.2810,0.0879,0.1735,0.0191,56.9312
189,8.895391,0.2815,0.0883,0.1734,0.0193,56.8335
192,8.897411,0.2833,0.0884,0.1751,0.0192,56.4847
195,8.888284,0.2828,0.0884,0.1748,0.0192,56.5763
198,8.888386,0.2806,0.0882,0.1728,0.0191,57.0292
201,8.901470,0.2828,0.0886,0.1747,0.0191,56.5718
204,8.914558,0.2810,0.0872,0.1742,0.0191,56.9338
207,8.896837,0.2824,0.0889,0.1735,0.0193,56.6639
210,8.898619,0.2878,0.0887,0.1794,0.0192,55.5894
213,8.888994,0.2832,0.0887,0.1749,0.0191,56.5021
216,8.879832,0.2833,0.0887,0.1749,0.0192,56.4790
219,8.892163,0.2836,0.0886,0.1753,0.0193,56.4152
222,8.902131,0.2835,0.0885,0.1753,0.0192,56.4363
225,8.891634,0.2806,0.0883,0.1727,0.0191,57.0298
228,8.890061,0.2812,0.0876,0.1739,0.0191,56.9073
231,8.884974,0.2810,0.0885,0.1729,0.0190,56.9352
234,8.888930,0.2830,0.0893,0.1741,0.0191,56.5380
237,8.886872,0.2835,0.0892,0.1745,0.0193,56.4456
240,8.889772,0.2827,0.0886,0.1742,0.0192,56.6051
243,8.902155,0.2829,0.0888,0.1746,0.0191,56.5561
246,8.909004,0.2826,0.0888,0.1742,0.0191,56.6115
249,8.894511,0.2835,0.0893,0.1744,0.0193,56.4436
252,8.894378,0.2810,0.0871,0.1743,0.0191,56.9434
255,8.861760,0.2818,0.0884,0.1738,0.0192,56.7737
258,8.899959,0.2884,0.0890,0.1796,0.0192,55.4880
261,8.884059,0.2831,0.0889,0.1746,0.0191,56.5166
264,8.865437,0.2835,0.0891,0.1747,0.0191,56.4451
267,8.877356,0.2834,0.0894,0.1744,0.0192,56.4477
270,8.885626,0.2832,0.0892,0.1745,0.0190,56.4930
273,8.896148,0.2812,0.0874,0.1743,0.0190,56.8927
276,8.880721,0.2812,0.0885,0.1731,0.0191,56.9013
279,8.880414,0.2841,0.0899,0.1742,0.0193,56.3215
282,8.884286,0.2828,0.0891,0.1739,0.0192,56.5860
285,8.891132,0.2823,0.0882,0.1744,0.0192,56.6703
288,8.871119,0.2833,0.0890,0.1747,0.0192,56.4718
291,8.887615,0.2834,0.0893,0.1746,0.0191,56.4505
294,8.886017,0.2828,0.0888,0.1744,0.0191,56.5769
297,8.874634,0.2817,0.0878,0.1743,0.0191,56.8048
300,8.876637,0.2817,0.0889,0.1731,0.0192,56.8021
303,8.890385,0.2825,0.0889,0.1739,0.0193,56.6283
