timeline_s,gpu_util_pct,gpu_mem_util_pct,gpu_mem_mb,cpu_util_pct,sys_mem_pct,sys_mem_mb,gpu_energy_delta_j,gpu_energy_j,gpu_power_w
0.0000,90,41,9013.25,1.3,4.1,21124.93,0.000000,0.000000,0.000000
0.5850,99,51,10923.25,1.4,4.1,21130.50,129.320000,129.320000,221.044505
1.4303,99,50,10923.25,1.4,4.1,21130.50,180.050000,309.370000,213.004016
2.2725,99,46,10923.25,1.3,4.1,21130.50,198.225000,507.595000,235.384327
3.1139,100,45,10923.25,1.4,4.1,21130.75,181.198000,688.793000,215.340568
3.9542,99,44,10923.25,1.4,4.1,21130.75,178.079000,866.872000,211.917773
4.8003,99,50,10923.25,1.4,4.1,21130.75,202.827000,1069.699000,239.726833
5.6496,99,50,10923.25,1.4,4.1,21130.75,178.598000,1248.297000,210.292795
6.4937,99,46,10923.25,1.4,4.1,21130.75,200.123000,1448.420000,237.086654
7.3470,100,44,10923.25,1.4,4.1,21130.75,177.907000,1626.327000,208.492896
8.1930,99,50,10923.25,1.4,4.1,21130.75,199.823000,1826.150000,236.205835
9.0466,99,50,10923.25,1.4,4.1,21130.75,178.823000,2004.973000,209.478522
9.8923,99,46,10923.25,1.4,4.1,21130.75,200.032000,2205.005000,236.522786
10.7428,100,44,10923.25,1.4,4.1,21130.74,179.652000,2384.657000,211.249051
11.5911,99,50,10923.25,1.4,4.1,21130.74,199.221000,2583.878000,234.836427
12.4335,99,50,10923.25,1.4,4.1,21130.72,178.605000,2762.483000,212.024348
13.2784,99,51,10923.25,1.5,4.1,21130.96,200.751000,2963.234000,237.610691
14.1222,100,45,10923.25,1.4,4.1,21130.96,180.704000,3143.938000,214.138690
14.9663,99,49,10923.25,1.4,4.1,21130.96,176.749000,3320.687000,209.398339
15.8120,99,50,10923.25,1.4,4.1,21130.96,200.723000,3521.410000,237.344074
16.6641,99,48,10923.25,1.4,4.1,21130.96,177.126000,3698.536000,207.875748
17.5115,100,45,10923.25,1.4,4.1,21130.96,202.104000,3900.640000,238.482471
18.3689,99,49,10923.25,1.5,4.1,21130.96,197.609000,4098.249000,230.478210
19.2143,99,50,10923.25,1.4,4.1,21130.96,182.815000,4281.064000,216.249464
20.0683,99,46,10923.25,1.4,4.1,21130.79,198.711000,4479.775000,232.682749
20.9158,100,45,10923.25,1.4,4.1,21130.79,183.124000,4662.899000,216.065947
21.7704,99,50,10923.25,1.4,4.1,21130.79,197.718000,4860.617000,231.368430
22.6279,99,50,10923.25,1.4,4.1,21130.79,180.513000,5041.130000,210.520238
23.4746,99,51,10923.25,1.4,4.1,21130.79,199.439000,5240.569000,235.553048
24.3294,100,44,10923.25,1.4,4.1,21130.79,179.943000,5420.512000,210.507435
25.1791,99,50,10923.25,1.4,4.1,21130.79,201.309000,5621.821000,236.896216
26.0221,99,50,10923.25,1.3,4.1,21130.79,180.690000,5802.511000,214.360097
26.8664,99,47,10923.25,1.4,4.1,21130.79,199.521000,6002.032000,236.310838
27.7399,100,44,10923.25,1.4,4.1,21128.82,179.641000,6181.673000,205.641105
28.5872,99,50,10923.25,1.4,4.1,21128.82,200.564000,6382.237000,236.711995
29.4427,99,50,10923.25,1.4,4.1,21128.82,179.566000,6561.803000,209.901302
30.2900,100,45,10923.25,1.4,4.1,21128.82,201.196000,6762.999000,237.449306
31.1431,100,43,10923.25,1.4,4.1,21128.82,179.121000,6942.120000,209.966290
31.9883,99,50,10923.25,1.4,4.1,21128.82,202.528000,7144.648000,239.632507
32.8434,99,50,10923.25,1.4,4.1,21128.82,179.760000,7324.408000,210.210845
33.6890,100,45,10923.25,1.4,4.1,21128.82,202.383000,7526.791000,239.336075
34.5424,100,43,10923.25,1.4,4.1,21128.82,180.152000,7706.943000,211.117799
35.3884,99,50,10923.25,1.4,4.1,21128.82,202.449000,7909.392000,239.293914
36.2364,99,50,10923.25,1.4,4.1,21128.82,180.285000,8089.677000,212.600872
37.0854,100,45,10923.25,1.4,4.1,21128.82,200.355000,8290.032000,235.978456
37.9581,99,48,10923.25,1.4,4.1,21128.82,173.874000,8463.906000,199.248613
38.8058,99,50,10923.25,1.4,4.1,21128.82,203.358000,8667.264000,239.877344
39.6629,99,46,10923.25,1.3,4.1,21128.82,198.587000,8865.851000,231.703776
40.5214,100,44,10923.25,1.4,4.1,21128.82,181.895000,9047.746000,211.873121
41.3675,99,50,10923.25,1.4,4.1,21128.82,200.298000,9248.044000,236.727688
42.2229,99,50,10923.25,1.4,4.1,21128.82,181.330000,9429.374000,211.993399
43.0826,100,46,10923.25,1.4,4.1,21128.82,199.357000,9628.731000,231.878211
43.9354,100,44,10923.25,1.4,4.1,21128.82,179.831000,9808.562000,210.887953
44.7864,99,50,10923.25,1.4,4.1,21128.82,200.445000,10009.007000,235.520155
45.6426,99,50,10923.25,1.4,4.1,21128.82,179.675000,10188.682000,209.858247
46.5017,100,45,10923.25,1.3,4.1,21128.82,203.190000,10391.872000,236.512068
47.3604,99,49,10923.25,1.4,4.1,21128.82,199.077000,10590.949000,231.846311
48.2185,99,50,10923.25,1.4,4.1,21128.82,182.208000,10773.157000,212.327332
49.0648,99,51,10923.25,1.4,4.1,21128.82,200.369000,10973.526000,236.774105
49.9221,100,44,10923.25,1.4,4.1,21128.82,180.808000,11154.334000,210.896370
50.7813,99,50,10923.25,1.4,4.1,21128.96,198.930000,11353.264000,231.516054
51.6328,99,50,10923.25,1.4,4.1,21128.96,180.214000,11533.478000,211.654423
52.4819,100,45,10923.25,1.4,4.1,21128.96,200.682000,11734.160000,236.354020
53.3569,99,48,10923.25,1.3,4.1,21128.96,195.988000,11930.148000,223.978226
54.2044,99,50,10923.25,1.4,4.1,21128.96,183.975000,12114.123000,217.083531
55.0605,99,53,10923.25,1.4,4.1,21128.96,199.152000,12313.275000,232.634756
55.9197,100,44,10923.25,1.4,4.1,21128.96,181.246000,12494.521000,210.938888
56.7787,99,50,10923.25,1.4,4.1,21128.96,199.545000,12694.066000,232.300498
57.6389,99,50,10923.25,1.4,4.1,21128.96,179.496000,12873.562000,208.672065
58.4914,100,45,10923.25,1.4,4.1,21128.96,203.394000,13076.956000,238.586759
59.3425,99,45,10923.25,1.4,4.1,21128.96,178.959000,13255.915000,210.272356
60.1986,99,50,10923.25,1.4,4.1,21128.96,203.742000,13459.657000,237.976017
61.0582,99,53,10923.25,1.4,4.1,21128.96,198.797000,13658.454000,231.263640
61.9178,100,44,10923.25,1.4,4.1,21128.96,180.901000,13839.355000,210.441683
62.7767,99,50,10923.25,1.4,4.1,21128.96,199.451000,14038.806000,232.233754
63.6377,99,50,10923.25,1.4,4.1,21128.96,179.459000,14218.265000,208.425672
64.4968,100,45,10923.25,1.4,4.1,21128.96,203.555000,14421.820000,236.936708
65.3488,99,47,10923.25,1.4,4.1,21128.96,179.088000,14600.908000,210.197930
66.2003,99,50,10923.25,1.4,4.1,21128.96,202.004000,14802.912000,237.246993
67.0796,100,44,10923.25,1.1,4.1,21130.69,197.847000,15000.759000,225.003123
67.9314,100,44,10923.25,1.1,4.1,21115.71,178.376000,15179.135000,209.407171
68.7835,99,50,10923.25,0.7,3.9,19922.88,201.350000,15380.485000,236.303350
69.6366,99,51,10923.25,0.5,3.9,19922.88,179.234000,15559.719000,210.092973
70.4951,100,44,10923.25,0.6,3.9,19922.88,203.688000,15763.407000,237.253291
71.3550,99,49,10923.25,0.5,3.9,19922.88,198.544000,15961.951000,230.892952
72.2020,99,51,10923.25,0.5,3.9,19922.88,181.997000,16143.948000,214.873243
73.0458,99,49,10923.25,0.5,3.9,19922.88,179.050000,16322.998000,212.203670
73.8903,100,45,10923.25,0.5,3.9,19922.88,202.896000,16525.894000,240.237434
